timestamp,bid_price_0,bid_price_1,bid_price_2,bid_price_3,bid_price_4,bid_price_5,bid_price_6,bid_price_7,bid_price_8,bid_price_9,ask_price_0,ask_price_1,ask_price_2,ask_price_3,ask_price_4,ask_price_5,ask_price_6,ask_price_7,ask_price_8,ask_price_9,bid_size_0,bid_size_1,bid_size_2,bid_size_3,bid_size_4,bid_size_5,bid_size_6,bid_size_7,bid_size_8,bid_size_9,ask_size_0,ask_size_1,ask_size_2,ask_size_3,ask_size_4,ask_size_5,ask_size_6,ask_size_7,ask_size_8,ask_size_9
0,0.1078,0.1077,0.1076,0.1075,0.1074,0.1073,0.1072,0.1071,0.107,0.1069,0.1079,0.108,0.1081,0.1082,0.1083,0.1084,0.1085,0.1086,0.1087,0.1088,16807,58335,113529,91994,165608,54238,43308,58524,53118,43336,24302,56694,73021,63821,48455,37764,92162,26075,18390,28951
1,0.1078,0.1077,0.1076,0.1075,0.1074,0.1073,0.1072,0.1071,0.107,0.1069,0.1079,0.108,0.1081,0.1082,0.1083,0.1084,0.1085,0.1086,0.1087,0.1088,20471,60525,61594,149590,284826,45136,48249,59729,58676,139892,20464,41980,69421,65059,38195,83992,66806,26094,18390,18807
2,0.1075,0.1074,0.1073,0.1072,0.1071,0.107,0.1069,0.1068,0.1067,0.1066,0.1076,0.1077,0.1078,0.1079,0.108,0.1081,0.1082,0.1083,0.1084,0.1085,9967,50570,100821,69643,291055,159022,181861,171108,44487,2198,24165,76179,59638,51780,43575,80636,21800,24594,24142,35363
3,0.1071,0.107,0.1069,0.1068,0.1067,0.1066,0.1065,0.1064,0.1063,0.1062,0.1072,0.1073,0.1074,0.1075,0.1076,0.1077,0.1078,0.1079,0.108,0.1081,2906,42357,201907,211229,157674,53419,23733,71111,63757,113009,39054,54694,70657,72434,30768,66173,73902,25190,12992,18655
4,0.1069,0.1068,0.1067,0.1066,0.1065,0.1064,0.1063,0.1062,0.1061,0.106,0.107,0.1071,0.1072,0.1073,0.1074,0.1075,0.1076,0.1077,0.1078,0.1079,36638,94721,72050,162088,180381,193055,41621,58672,11783,54194,23815,79459,73290,56906,48807,54860,47283,24569,19612,18002
5,0.1067,0.1066,0.1065,0.1064,0.1063,0.1062,0.1061,0.106,0.1059,0.1058,0.1068,0.1069,0.107,0.1071,0.1072,0.1073,0.1074,0.1075,0.1076,0.1077,10852,110898,153781,276031,116148,125417,44242,17851,105662,60859,35588,92864,70799,45472,73820,77534,28021,18047,18046,12210
6,0.1065,0.1064,0.1063,0.1062,0.1061,0.106,0.1059,0.1058,0.1057,0.1056,0.1066,0.1067,0.1068,0.1069,0.107,0.1071,0.1072,0.1073,0.1074,0.1075,18889,123021,166798,231299,150944,72620,53392,67052,46924,106360,21544,69433,49507,80833,59013,74862,31522,18072,21392,12152
7,0.1065,0.1064,0.1063,0.1062,0.1061,0.106,0.1059,0.1058,0.1057,0.1056,0.1066,0.1067,0.1068,0.1069,0.107,0.1071,0.1072,0.1073,0.1074,0.1075,38476,84650,146848,219677,122776,95027,59914,71770,40271,106360,17698,90508,86782,42776,71212,49171,50290,18119,20457,5179
8,0.1065,0.1064,0.1063,0.1062,0.1061,0.106,0.1059,0.1058,0.1057,0.1056,0.1066,0.1067,0.1068,0.1069,0.107,0.1071,0.1072,0.1073,0.1074,0.1075,4406,53657,92666,150811,191694,148915,71616,78445,40271,106360,37582,99599,97259,47430,80533,49171,24624,16370,7840,5179
9,0.1071,0.107,0.1069,0.1068,0.1067,0.1066,0.1065,0.1064,0.1063,0.1062,0.1072,0.1073,0.1074,0.1075,0.1076,0.1077,0.1078,0.1079,0.108,0.1081,19051,58438,65361,100352,126853,63266,50397,30534,70039,19980,19355,81274,86397,61687,49831,40808,24965,11860,17199,10751
