timestamp,bid_price_0,bid_price_1,bid_price_2,bid_price_3,bid_price_4,bid_price_5,bid_price_6,bid_price_7,bid_price_8,bid_price_9,ask_price_0,ask_price_1,ask_price_2,ask_price_3,ask_price_4,ask_price_5,ask_price_6,ask_price_7,ask_price_8,ask_price_9,bid_size_0,bid_size_1,bid_size_2,bid_size_3,bid_size_4,bid_size_5,bid_size_6,bid_size_7,bid_size_8,bid_size_9,ask_size_0,ask_size_1,ask_size_2,ask_size_3,ask_size_4,ask_size_5,ask_size_6,ask_size_7,ask_size_8,ask_size_9
0,0.00248,0.002479,0.002478,0.002477,0.002476,0.002475,0.002474,0.002473,0.002472,0.00247,0.002481,0.002483,0.002485,0.002486,0.002487,0.002488,0.002489,0.002491,0.002492,0.002493,49562.5,6233.4,94872.3,33287.7,13021.4,22008.8,214804.4,431746.1,258433.1,13021.4,554.6,26311.7,13021.4,2363.6,13021.4,20231.2,22135,214228,403683.7,13021.4
1,0.00248,0.002479,0.002478,0.002477,0.002476,0.002475,0.002474,0.002473,0.002472,0.00247,0.002481,0.002484,0.002485,0.002486,0.002487,0.002488,0.002489,0.002492,0.002493,0.002494,42774.5,6233.4,21359.5,33287.7,13021.4,22008.8,217463,632538,258433.1,13021.4,554.6,13021.4,13021.4,2363.6,13021.4,20231.2,22135,204441.6,13021.4,13021.4
2,0.002492,0.002491,0.00249,0.002489,0.002488,0.002486,0.002484,0.002482,0.002481,0.00248,0.002494,0.002495,0.002496,0.002498,0.0025,0.002501,0.002502,0.002503,0.002505,0.002506,13242.3,19481,26274.4,2363.6,181363.6,22017.2,13021.4,306326.4,13021.4,29468.1,6133.4,26247.8,26242.5,15385,339656.3,166419.4,13021.4,185022,13021.4,62516.4
3,0.002482,0.002481,0.00248,0.002479,0.002478,0.002477,0.002474,0.002473,0.002472,0.002471,0.002485,0.002486,0.002487,0.00249,0.002491,0.002492,0.002493,0.002498,0.002499,0.0025,15385,13021.4,288739.5,420639.8,313845.3,197542.5,13021.4,1085030.2,68348,22588.5,26301,26295.7,26290.3,13021.4,932243,13021.4,15356.3,13021.4,324262.8,20231.2
4,0.002478,0.002477,0.002476,0.002475,0.002474,0.002473,0.002472,0.00247,0.002469,0.002468,0.002479,0.002481,0.002482,0.002483,0.002484,0.002485,0.002486,0.002487,0.00249,0.002491,13021.4,39098.4,13021.4,208928.1,13021.4,21885.2,68348,2363.6,13021.4,590666.9,2363.6,13021.4,22044.7,7151.4,6133.4,26301,26295.7,26290.3,159264.1,149045.6
5,0.002476,0.002475,0.002474,0.002473,0.002472,0.00247,0.002469,0.002468,0.002467,0.002466,0.002479,0.00248,0.002481,0.002482,0.002483,0.002487,0.002489,0.00249,0.002491,0.002492,7737.8,235282.8,13338.7,13021.4,68348,104264.9,297755.1,590666.9,341790.5,13021.4,28232.6,13306.4,13021.4,926409.7,20172.8,13021.4,13021.4,156333.4,13021.4,378166.8
6,0.002476,0.002475,0.002473,0.002472,0.00247,0.002469,0.002468,0.002467,0.002466,0.002465,0.002479,0.00248,0.002481,0.002482,0.002483,0.002491,0.002492,0.002493,0.002502,0.002503,6233.4,217742.4,13021.4,68348,104264.9,457052.3,1087221.5,9166.8,13021.4,236228.7,15675.4,13306.4,13021.4,926409.7,20172.8,13021.4,191913.2,511477.4,13021.4,15121.4
7,0.002477,0.002476,0.002473,0.002472,0.00247,0.002469,0.002468,0.002467,0.002466,0.002465,0.002479,0.00248,0.002481,0.002482,0.002483,0.002489,0.00249,0.002491,0.002492,0.002493,13322.5,26349.3,6233.4,68348,15385,633640,590666.9,9166.8,13021.4,236228.7,899840.6,13021.4,9044.5,13021.4,20172.8,36008.3,169354.8,177485.8,184441.9,182922
8,0.002474,0.002473,0.002472,0.002471,0.00247,0.002469,0.002468,0.002467,0.002466,0.002465,0.002477,0.002478,0.002479,0.00248,0.002481,0.002482,0.002483,0.002488,0.002491,0.002492,7874.1,28535.8,70711.6,13021.4,104607.3,530166.7,754889.5,179517.7,175144.6,851416.1,19455.9,20346.9,13311.8,13021.4,28686,13021.4,22243.6,332414.7,13021.4,13021.4
9,0.002473,0.002472,0.002471,0.00247,0.002469,0.002468,0.002467,0.002466,0.002465,0.002464,0.002475,0.002476,0.002477,0.002478,0.002479,0.00248,0.002482,0.002483,0.002486,0.002487,6556.1,84061.1,13021.4,101731.9,443493.6,590666.9,190444.9,551373.6,851416.1,9246.4,13021.4,13327.9,12567.9,20346.9,13311.8,15385,13021.4,22243.6,190444.9,397431.4
