timestamp,bid_price_0,bid_price_1,bid_price_2,bid_price_3,bid_price_4,bid_price_5,bid_price_6,bid_price_7,bid_price_8,bid_price_9,ask_price_0,ask_price_1,ask_price_2,ask_price_3,ask_price_4,ask_price_5,ask_price_6,ask_price_7,ask_price_8,ask_price_9,bid_size_0,bid_size_1,bid_size_2,bid_size_3,bid_size_4,bid_size_5,bid_size_6,bid_size_7,bid_size_8,bid_size_9,ask_size_0,ask_size_1,ask_size_2,ask_size_3,ask_size_4,ask_size_5,ask_size_6,ask_size_7,ask_size_8,ask_size_9
0,0.04008,0.04007,0.04006,0.04005,0.04004,0.04003,0.04002,0.04001,0.04,0.03999,0.04009,0.0401,0.04011,0.04012,0.04013,0.04014,0.04015,0.04016,0.04017,0.04018,74591,8234,17072,22199,85815,102067,55404,25634,77767,217589,2394,6317,12636,24162,83546,40221,44556,101529,54095,115396
1,0.03999,0.03998,0.03997,0.03996,0.03995,0.03994,0.03993,0.03992,0.03991,0.0399,0.04,0.04001,0.04002,0.04003,0.04004,0.04005,0.04006,0.04007,0.04008,0.04009,752,9580,7108,33215,90692,21810,15154,56164,153407,77668,7722,13282,40141,18480,56747,102464,106284,134119,657265,15614
2,0.04002,0.04001,0.04,0.03999,0.03998,0.03997,0.03996,0.03995,0.03994,0.03993,0.04003,0.04004,0.04005,0.04006,0.04007,0.04008,0.04009,0.0401,0.04011,0.04012,6421,13036,35928,136599,86518,55722,18839,141112,3327,76678,2700,6581,35296,104715,11267,21000,50184,126195,14660,40804
3,0.04002,0.04001,0.04,0.03999,0.03998,0.03997,0.03996,0.03995,0.03994,0.03993,0.04004,0.04005,0.04006,0.04007,0.04008,0.04009,0.0401,0.04011,0.04012,0.04013,5471,13032,38035,109833,67160,34610,39320,270015,3327,33937,6591,32584,91456,15302,51156,73965,153271,91034,90417,577860
4,0.04002,0.04001,0.04,0.03999,0.03998,0.03997,0.03996,0.03995,0.03994,0.03993,0.04004,0.04005,0.04006,0.04007,0.04008,0.04009,0.0401,0.04011,0.04012,0.04013,22209,20226,31461,131700,54653,41181,39586,257498,3327,33936,2935,122173,83087,23818,128238,638566,158848,53657,55000,6874
5,0.04001,0.04,0.03999,0.03998,0.03997,0.03996,0.03995,0.03994,0.03993,0.03992,0.04002,0.04003,0.04004,0.04005,0.04006,0.04007,0.04008,0.04009,0.0401,0.04011,2951,9841,21821,16625,33139,63148,120909,28048,26436,32984,4685,6806,38831,158082,92493,61922,15341,56232,145654,574124
6,0.04001,0.04,0.03999,0.03998,0.03997,0.03996,0.03995,0.03994,0.03993,0.03992,0.04003,0.04004,0.04005,0.04006,0.04007,0.04008,0.04009,0.0401,0.04011,0.04012,7190,19870,20037,20500,56702,45003,101187,41494,30144,136679,3857,37898,156804,91503,58028,41735,70845,89682,635966,51983
7,0.03999,0.03998,0.03997,0.03996,0.03995,0.03994,0.03993,0.03992,0.03991,0.0399,0.04,0.04001,0.04002,0.04003,0.04004,0.04005,0.04006,0.04007,0.04008,0.04009,251,9479,20609,36794,115611,40915,26256,23885,166120,96464,7138,9921,26443,53914,46804,165311,91330,68015,105094,586600
8,0.04004,0.04003,0.04002,0.04001,0.04,0.03999,0.03998,0.03997,0.03996,0.03995,0.04005,0.04006,0.04007,0.04008,0.04009,0.0401,0.04011,0.04012,0.04013,0.04014,2700,12712,39064,32941,73206,112882,30453,184506,15839,94318,41397,7075,20203,42783,49535,146505,116458,655878,41755,157947
9,0.04012,0.04011,0.0401,0.04009,0.04008,0.04007,0.04006,0.04005,0.04004,0.04003,0.04013,0.04014,0.04015,0.04016,0.04017,0.04018,0.04019,0.0402,0.04021,0.04022,1562,11942,20716,48047,36701,109957,23897,15524,38403,109607,5782,6874,10884,18447,86655,117164,88425,33058,97863,128279
10,0.04011,0.0401,0.04009,0.04008,0.04007,0.04006,0.04005,0.04004,0.04003,0.04002,0.04012,0.04013,0.04014,0.04015,0.04016,0.04017,0.04018,0.04019,0.0402,0.04021,250,2950,18092,49764,86674,12228,22908,63903,146321,8133,3953,36252,11798,29838,38526,56553,85904,31074,14131,46336
11,0.04012,0.04011,0.0401,0.04009,0.04008,0.04007,0.04006,0.04005,0.04004,0.04003,0.04013,0.04014,0.04015,0.04016,0.04017,0.04018,0.04019,0.0402,0.04021,0.04022,250,11786,28976,16108,61055,111792,37592,70362,78158,151447,7930,27559,44599,34644,52949,99601,19972,18568,71806,107116
12,0.04014,0.04013,0.04012,0.04011,0.0401,0.04009,0.04008,0.04007,0.04006,0.04005,0.04015,0.04016,0.04017,0.04018,0.04019,0.0402,0.04021,0.04022,0.04023,0.04024,5008,11913,41027,111964,60658,50195,53585,120988,81585,83327,250,11182,45490,104540,26415,48111,52231,132289,41626,13689
13,0.04021,0.0402,0.04019,0.04018,0.04017,0.04016,0.04015,0.04014,0.04013,0.04012,0.04022,0.04023,0.04024,0.04025,0.04026,0.04027,0.04028,0.04029,0.0403,0.04031,7558,9875,10439,19919,32539,102239,108391,48133,119725,204546,29046,8168,19733,56915,121285,31798,33260,19004,55900,115416
14,0.04026,0.04025,0.04024,0.04023,0.04022,0.04021,0.0402,0.04019,0.04018,0.04017,0.04027,0.04028,0.04029,0.0403,0.04031,0.04032,0.04033,0.04034,0.04035,0.04036,7720,22482,52703,111593,36615,34371,27875,86793,46889,237876,2949,6860,29575,25502,36317,103793,30724,25443,47323,101162
15,0.04023,0.04022,0.04021,0.0402,0.04019,0.04018,0.04017,0.04016,0.04015,0.04014,0.04024,0.04025,0.04026,0.04027,0.04028,0.04029,0.0403,0.04031,0.04032,0.04033,249,6664,29408,37921,120151,27293,27058,32161,150172,37749,6233,7176,19368,34215,28176,29307,77366,100316,9885,21983
16,0.04031,0.0403,0.04029,0.04028,0.04027,0.04026,0.04025,0.04024,0.04023,0.04022,0.04032,0.04033,0.04034,0.04035,0.04036,0.04037,0.04038,0.04039,0.0404,0.04041,249,17306,26531,28618,89894,37142,58973,46957,108188,64736,2977,13966,32995,32933,71254,98072,24325,23064,45279,107649
17,0.0403,0.04029,0.04028,0.04027,0.04026,0.04025,0.04024,0.04023,0.04022,0.04021,0.04031,0.04032,0.04033,0.04034,0.04035,0.04036,0.04037,0.04038,0.04039,0.0404,2949,12307,34491,85576,27134,4137,40986,166654,51075,45481,2663,6057,12269,40372,20438,60208,121879,15341,22018,65582
18,0.0403,0.04029,0.04028,0.04027,0.04026,0.04025,0.04024,0.04023,0.04022,0.04021,0.04032,0.04033,0.04034,0.04035,0.04036,0.04037,0.04038,0.04039,0.0404,0.04041,5396,6426,42122,108691,16828,20921,68330,137174,20099,20845,11568,11480,28226,12413,56586,83403,24622,34214,42100,109135
19,0.04022,0.04021,0.0402,0.04019,0.04018,0.04017,0.04016,0.04015,0.04014,0.04013,0.04024,0.04025,0.04026,0.04027,0.04028,0.04029,0.0403,0.04031,0.04032,0.04033,12658,12549,39177,104699,4521,124281,8086,137673,65172,33841,15364,24521,20311,19579,49943,83600,54971,75725,42456,101631
20,0.04026,0.04025,0.04024,0.04023,0.04022,0.04021,0.0402,0.04019,0.04018,0.04017,0.04027,0.04028,0.04029,0.0403,0.04031,0.04032,0.04033,0.04034,0.04035,0.04036,249,12271,100837,55468,32384,52337,82976,87219,29757,57561,2812,6134,22930,45987,41179,42456,89230,29803,57074,38475
