timestamp,bid_price_0,bid_price_1,bid_price_2,bid_price_3,bid_price_4,bid_price_5,bid_price_6,bid_price_7,bid_price_8,bid_price_9,ask_price_0,ask_price_1,ask_price_2,ask_price_3,ask_price_4,ask_price_5,ask_price_6,ask_price_7,ask_price_8,ask_price_9,bid_size_0,bid_size_1,bid_size_2,bid_size_3,bid_size_4,bid_size_5,bid_size_6,bid_size_7,bid_size_8,bid_size_9,ask_size_0,ask_size_1,ask_size_2,ask_size_3,ask_size_4,ask_size_5,ask_size_6,ask_size_7,ask_size_8,ask_size_9
0,0.08956,0.08955,0.08954,0.08953,0.08952,0.08951,0.0895,0.08949,0.08948,0.08947,0.08957,0.08958,0.08959,0.0896,0.08961,0.08962,0.08963,0.08964,0.08965,0.08966,6621,106145,281843,257807,346389,199683,397319,491220,291882,359310,161524,194267,225898,454954,416427,242495,393837,622115,339668,542382
1,0.08953,0.08952,0.08951,0.0895,0.08949,0.08948,0.08947,0.08946,0.08945,0.08944,0.08954,0.08955,0.08956,0.08957,0.08958,0.08959,0.0896,0.08961,0.08962,0.08963,178517,106266,234183,296423,148704,458222,135708,428266,254585,392207,74235,45333,164247,481900,583372,631893,308143,576424,238347,524638
2,0.08959,0.08958,0.08957,0.08956,0.08955,0.08954,0.08953,0.08952,0.08951,0.0895,0.0896,0.08961,0.08962,0.08963,0.08964,0.08965,0.08966,0.08967,0.08968,0.08969,84237,141916,137959,430024,217665,395517,309009,575579,180379,527872,110238,259653,367076,193241,529779,354877,536324,492848,595260,213274
3,0.08961,0.0896,0.08959,0.08958,0.08957,0.08956,0.08955,0.08954,0.08953,0.08952,0.08962,0.08963,0.08964,0.08965,0.08966,0.08967,0.08968,0.08969,0.0897,0.08971,23301,89941,171250,420148,157196,478822,412378,312402,283698,445245,198087,175613,481373,369964,498319,469344,628512,327645,590702,413916
4,0.08959,0.08958,0.08957,0.08956,0.08955,0.08954,0.08953,0.08952,0.08951,0.0895,0.0896,0.08961,0.08962,0.08963,0.08964,0.08965,0.08966,0.08967,0.08968,0.08969,33303,88699,156548,410823,227460,280410,224523,449037,187821,367404,147827,132415,149509,254583,450056,266203,500206,500673,536455,348840
5,0.08967,0.08966,0.08965,0.08964,0.08963,0.08962,0.08961,0.0896,0.08959,0.08958,0.08968,0.08969,0.0897,0.08971,0.08972,0.08973,0.08974,0.08975,0.08976,0.08977,159622,137885,188428,329128,268399,335559,69038,484907,234856,530536,84803,84789,368145,513106,628304,486304,518481,382358,374127,479056
6,0.08969,0.08968,0.08967,0.08966,0.08965,0.08964,0.08963,0.08962,0.08961,0.0896,0.0897,0.08971,0.08972,0.08973,0.08974,0.08975,0.08976,0.08977,0.08978,0.08979,2471,46416,153896,190055,155242,144130,495228,264625,418519,474830,127291,237788,123746,450045,500634,439197,409087,729274,439726,417711
7,0.08972,0.08971,0.0897,0.08969,0.08968,0.08967,0.08966,0.08965,0.08964,0.08963,0.08973,0.08974,0.08975,0.08976,0.08977,0.08978,0.08979,0.0898,0.08981,0.08982,58200,138913,352202,214313,437511,316576,455858,357159,36404,701271,97778,129271,172845,244298,508180,434473,539857,331977,576120,570363
8,0.08978,0.08977,0.08976,0.08975,0.08974,0.08973,0.08972,0.08971,0.0897,0.08969,0.08979,0.0898,0.08981,0.08982,0.08983,0.08984,0.08985,0.08986,0.08987,0.08988,107856,210554,358566,270736,360791,138339,392019,305007,377225,318088,55455,160200,424016,591357,441136,382222,823348,327935,464189,312342
9,0.08983,0.08982,0.08981,0.0898,0.08979,0.08978,0.08977,0.08976,0.08975,0.08974,0.08984,0.08985,0.08986,0.08987,0.08988,0.08989,0.0899,0.08991,0.08992,0.08993,18367,49164,346101,138062,201776,432511,282088,581928,569851,312573,220376,172767,87747,219901,417993,618202,431743,388952,499628,190795
10,0.08983,0.08982,0.08981,0.0898,0.08979,0.08978,0.08977,0.08976,0.08975,0.08974,0.08984,0.08985,0.08986,0.08987,0.08988,0.08989,0.0899,0.08991,0.08992,0.08993,188198,348447,195857,382820,215610,468808,270265,497113,241607,538060,58481,35867,234169,216306,453067,593407,571235,345812,482669,189885
11,0.08989,0.08988,0.08987,0.08986,0.08985,0.08984,0.08983,0.08982,0.08981,0.0898,0.0899,0.08991,0.08992,0.08993,0.08994,0.08995,0.08996,0.08997,0.08998,0.08999,108748,95268,183391,339000,209780,506461,83888,530594,509172,423041,71656,97167,161634,231058,565082,418701,469673,491993,654591,342642
12,0.08998,0.08997,0.08996,0.08995,0.08994,0.08993,0.08992,0.08991,0.0899,0.08989,0.08999,0.09,0.09001,0.09002,0.09003,0.09004,0.09005,0.09006,0.09007,0.09008,110629,91067,228349,333216,208684,373292,119842,948018,112485,565224,96840,196861,302883,116716,364150,673576,246680,453527,309464,453120
13,0.08996,0.08995,0.08994,0.08993,0.08992,0.08991,0.0899,0.08989,0.08988,0.08987,0.08997,0.08998,0.08999,0.09,0.09001,0.09002,0.09003,0.09004,0.09005,0.09006,57774,78902,190577,353174,222442,462826,413296,258876,350223,259302,70088,50196,117979,463112,469510,455700,556290,722471,177426,356845
14,0.08996,0.08995,0.08994,0.08993,0.08992,0.08991,0.0899,0.08989,0.08988,0.08987,0.08997,0.08998,0.08999,0.09,0.09001,0.09002,0.09003,0.09004,0.09005,0.09006,104853,65760,217760,306081,221756,399825,185417,246532,423308,222271,96746,49082,118001,491201,637252,419582,381451,878531,177426,357951
15,0.08992,0.08991,0.0899,0.08989,0.08988,0.08987,0.08986,0.08985,0.08984,0.08983,0.08993,0.08994,0.08995,0.08996,0.08997,0.08998,0.08999,0.09,0.09001,0.09002,220,25185,119229,333817,119102,104142,367026,402595,434392,95486,215481,240756,231706,331649,407636,429487,256617,618219,719121,460767
16,0.08993,0.08992,0.08991,0.0899,0.08989,0.08988,0.08987,0.08986,0.08985,0.08984,0.08994,0.08995,0.08996,0.08997,0.08998,0.08999,0.09,0.09001,0.09002,0.09003,26686,81340,158976,336402,163508,497743,164647,316287,535828,331231,132805,165901,269409,463247,351563,201106,573255,723558,407807,380515
17,0.08996,0.08995,0.08994,0.08993,0.08992,0.08991,0.0899,0.08989,0.08988,0.08987,0.08997,0.08998,0.08999,0.09,0.09001,0.09002,0.09003,0.09004,0.09005,0.09006,131058,129475,401925,213370,496706,287511,261590,157766,667136,196204,37761,19018,117496,456504,422782,495859,567080,646396,221223,397921
18,0.08993,0.08992,0.08991,0.0899,0.08989,0.08988,0.08987,0.08986,0.08985,0.08984,0.08994,0.08995,0.08996,0.08997,0.08998,0.08999,0.09,0.09001,0.09002,0.09003,11090,30127,156868,328495,144196,498324,212776,393521,387595,438111,174290,166729,91841,186448,563791,188989,444436,586843,521737,594779
19,0.08994,0.08993,0.08992,0.08991,0.0899,0.08989,0.08988,0.08987,0.08986,0.08985,0.08995,0.08996,0.08997,0.08998,0.08999,0.09,0.09001,0.09002,0.09003,0.09004,13071,80312,257188,132861,309195,252833,567426,101393,275207,542977,203145,119844,205126,532694,450717,532937,293452,703942,494304,498328
20,0.08999,0.08998,0.08997,0.08996,0.08995,0.08994,0.08993,0.08992,0.08991,0.0899,0.09,0.09001,0.09002,0.09003,0.09004,0.09005,0.09006,0.09007,0.09008,0.09009,195681,48017,95963,428874,209432,475262,99126,432731,561932,578530,7874,392,55035,214229,530911,672512,523973,388661,455895,176867
