timestamp,bid_price_0,bid_price_1,bid_price_2,bid_price_3,bid_price_4,bid_price_5,bid_price_6,bid_price_7,bid_price_8,bid_price_9,ask_price_0,ask_price_1,ask_price_2,ask_price_3,ask_price_4,ask_price_5,ask_price_6,ask_price_7,ask_price_8,ask_price_9,bid_size_0,bid_size_1,bid_size_2,bid_size_3,bid_size_4,bid_size_5,bid_size_6,bid_size_7,bid_size_8,bid_size_9,ask_size_0,ask_size_1,ask_size_2,ask_size_3,ask_size_4,ask_size_5,ask_size_6,ask_size_7,ask_size_8,ask_size_9
0,2066.86,2066.85,2066.83,2066.82,2066.81,2066.8,2066.79,2066.78,2066.77,2066.76,2066.87,2066.88,2066.92,2066.94,2066.95,2066.98,2066.99,2067,2067.01,2067.02,45.979,0.0351,0.0026,0.0026,0.0026,0.7741,0.3873,0.1027,0.0051,1.9129,21.6742,0.0025,0.0228,0.0025,0.0156,0.005,0.0297,0.5025,0.003,0.0025
1,2066.68,2066.67,2066.66,2066.65,2066.64,2066.63,2066.58,2066.53,2066.52,2066.51,2066.69,2066.7,2066.71,2066.72,2066.73,2066.74,2066.75,2066.76,2066.77,2066.78,58.6388,2.4957,1.2173,0.0051,0.5715,1.878,0.0401,0.0051,4.8504,16.927,0.0585,0.0131,0.0051,0.0076,0.0057,0.0051,0.0051,0.0076,0.0076,0.0133
2,2066.8,2066.79,2066.78,2066.77,2066.76,2066.75,2066.74,2066.73,2066.72,2066.71,2066.81,2066.82,2066.85,2066.86,2066.87,2066.88,2066.9,2066.91,2066.92,2066.93,14.8788,0.0051,0.0052,0.0101,0.0139,0.0051,0.0051,0.0076,0.1076,0.0093,30.8701,4.8446,0.0076,0.0051,0.0084,0.0026,0.0051,0.0076,0.0102,0.5085
3,2066.29,2066.28,2066.27,2066.26,2066.25,2066.24,2066.23,2066.22,2066.2,2066.19,2066.3,2066.31,2066.32,2066.34,2066.35,2066.36,2066.37,2066.4,2066.41,2066.42,11.3395,0.0076,0.0026,0.0026,0.0113,0.0081,0.0076,0.0025,0.0025,1.2084,12.488,0.0426,0.0026,0.0631,0.0084,0.0181,0.0412,0.0406,0.0025,0.0112
4,2064.68,2064.67,2064.65,2064.64,2064.63,2064.62,2064.61,2064.6,2064.59,2064.58,2064.69,2064.72,2064.73,2064.74,2064.75,2064.76,2064.77,2064.78,2064.79,2064.8,21.3444,0.0026,1.2153,20.7805,26.1081,3.524,0.0101,0.0406,0.2965,0.1391,0.0327,0.0026,0.0077,0.0051,0.006,0.0026,0.0026,0.0051,0.0026,0.0112
5,2064.86,2064.85,2064.84,2064.83,2064.82,2064.81,2064.8,2064.79,2064.78,2064.77,2064.87,2064.88,2064.96,2064.98,2065.01,2065.02,2065.03,2065.04,2065.05,2065.06,14.1056,1.8591,1.5934,0.0369,0.0067,0.0026,2.5953,0.0051,0.0426,0.0099,10.8759,0.0025,0.0076,0.0052,0.0077,0.5184,0.0077,1.3062,0.0401,0.0026
6,2064.51,2064.5,2064.49,2064.48,2064.47,2064.46,2064.45,2064.44,2064.43,2064.42,2064.52,2064.59,2064.6,2064.63,2064.64,2064.65,2064.66,2064.67,2064.68,2064.69,12.7705,0.0156,0.0051,0.0051,0.0117,0.0076,0.0051,0.0076,0.0202,0.0176,36.296,0.0056,0.0426,0.0052,3.8705,0.0026,0.0026,0.0026,0.0536,8.8539
7,2063.23,2063.22,2063.21,2063.2,2063.19,2063.18,2063.17,2063.16,2063.15,2063.14,2063.24,2063.25,2063.31,2063.32,2063.33,2063.34,2063.35,2063.36,2063.37,2063.38,4.7174,0.0307,0.0661,0.0106,0.0308,0.0076,0.0345,0.0076,0.0331,0.2425,83.5219,0.0025,7.9626,10.1805,0.0051,0.0401,0.0076,0.0064,0.0076,0.0026
8,2061.02,2061.01,2061,2060.99,2060.97,2060.96,2060.95,2060.94,2060.93,2060.92,2061.03,2061.07,2061.08,2061.09,2061.12,2061.13,2061.18,2061.22,2061.23,2061.24,11.2805,0.0319,0.2674,0.0633,0.0585,0.0051,0.0129,0.2365,0.0051,0.0159,40.2976,0.0056,0.6011,0.0325,1.4092,0.8076,0.0685,0.0537,5.317,11.6097
9,2058.97,2058.96,2058.95,2058.94,2058.93,2058.92,2058.91,2058.9,2058.88,2058.87,2058.98,2059.01,2059.02,2059.03,2059.06,2059.07,2059.08,2059.09,2059.1,2059.11,11.5775,0.0126,0.0113,0.0473,0.0131,0.0101,0.0129,20.0197,0.0333,0.015,35.9533,0.0026,0.7513,2.1379,0.0075,0.0065,0.0025,0.003,0.005,0.035
10,2056.01,2056,2055.99,2055.98,2055.97,2055.96,2055.95,2055.94,2055.93,2055.92,2056.02,2056.05,2056.12,2056.14,2056.17,2056.18,2056.19,2056.2,2056.21,2056.22,11.3907,2.007,0.0051,0.3569,0.0119,0.0101,0.1015,0.032,0.0242,0.1594,39.5589,0.0025,0.003,0.0325,1.0958,0.7876,0.0025,1.0025,0.6047,7.0861
11,2058.41,2058.4,2058.39,2058.37,2058.36,2058.35,2058.34,2058.33,2058.32,2058.3,2058.42,2058.43,2058.48,2058.5,2058.51,2058.52,2058.53,2058.54,2058.55,2058.56,16.9832,0.0026,0.0051,0.0051,0.0144,0.0102,1.0192,0.0076,0.0077,0.0253,30.4678,0.0056,0.0351,0.0052,4.4362,0.015,0.2069,0.0146,0.0131,0.0109
12,2057.41,2057.4,2057.39,2057.38,2057.37,2057.36,2057.35,2057.34,2057.33,2057.32,2057.42,2057.44,2057.45,2057.46,2057.48,2057.49,2057.52,2057.53,2057.55,2057.58,0.0151,0.0224,0.0051,0.0346,0.0102,0.1399,0.0855,0.0051,0.0051,0.0051,39.8933,0.003,0.0227,0.0025,0.0025,0.53,0.041,0.0025,0.0055,0.03
13,2057.52,2057.36,2057.35,2057.34,2057.33,2057.32,2057.31,2057.3,2057.29,2057.28,2057.53,2057.54,2057.55,2057.56,2057.57,2057.58,2057.59,2057.6,2057.61,2057.62,31.68,17.6145,4.3548,0.0026,0.0056,0.0026,0.6541,1.8887,17.6571,0.0077,4.7962,0.1379,0.0051,0.0102,0.1267,0.0357,0.0295,0.0106,0.0076,0.0051
14,2060.48,2060.46,2060.41,2060.4,2060.39,2060.37,2060.36,2060.33,2060.3,2060.29,2060.49,2060.5,2060.52,2060.53,2060.54,2060.55,2060.57,2060.58,2060.59,2060.6,41.3437,0.03,18.0914,13.6104,3.4454,0.0325,0.01,0.0025,23.3592,3.7358,0.0222,0.0081,0.0051,0.0676,0.0076,0.0051,0.0051,0.0051,0.0163,0.0106
15,2061,2060.89,2060.82,2060.8,2060.79,2060.78,2060.77,2060.76,2060.75,2060.74,2061.01,2061.02,2061.03,2061.04,2061.05,2061.07,2061.08,2061.09,2061.1,2061.11,12.9723,0.0052,0.0351,0.0181,0.0051,0.0025,12.0575,0.0561,0.0076,9.2506,38.5955,0.0076,0.0051,0.0623,0.0051,0.0056,0.1265,0.3051,1.3018,0.0051
16,2059.6,2059.55,2059.54,2059.53,2059.47,2059.46,2059.45,2059.44,2059.43,2059.42,2059.61,2059.62,2059.63,2059.64,2059.65,2059.66,2059.67,2059.68,2059.69,2059.7,12.8107,0.0051,0.0102,2.0881,0.0446,0.0025,11.3866,37.9325,0.0464,0.1447,32.962,0.0126,0.0051,0.0051,0.0432,0.0369,0.0077,0.1276,0.0026,0.0184
17,2062.29,2062.28,2062.27,2062.26,2062.25,2062.24,2062.23,2062.22,2062.21,2062.2,2062.3,2062.35,2062.37,2062.38,2062.39,2062.4,2062.42,2062.43,2062.44,2062.45,10.3477,0.0106,0.0077,0.0076,0.0122,0.0151,0.0026,0.0051,0.0051,0.0209,25.1496,0.0326,0.0051,0.0083,0.0126,0.0026,0.0126,0.6126,0.0429,0.0445
18,2060.89,2060.88,2060.87,2060.86,2060.85,2060.84,2060.83,2060.82,2060.81,2060.8,2060.9,2060.91,2060.93,2060.94,2060.95,2060.96,2060.97,2060.98,2060.99,2061,11.2865,0.0127,0.1315,0.0076,0.0126,0.0126,1.3592,0.0351,0.0077,0.0207,10.6647,0.0026,0.0103,0.0026,0.0133,0.0026,0.0051,0.0051,0.0026,0.0179
19,2061.56,2061.55,2061.54,2061.52,2061.51,2061.5,2061.49,2061.48,2061.45,2061.42,2061.57,2061.58,2061.6,2061.61,2061.62,2061.63,2061.65,2061.66,2061.67,2061.68,12.1033,0.005,0.0025,0.01,0.0699,0.008,0.1238,0.0025,0.0599,1.5003,20.9232,0.0051,0.0101,0.0051,0.0193,0.0326,0.0127,0.0051,0.0051,0.0188
20,2063.21,2063.2,2063.16,2063.15,2063.14,2063.12,2063.09,2063.08,2063.07,2063.04,2063.22,2063.23,2063.24,2063.25,2063.26,2063.27,2063.28,2063.29,2063.3,2063.31,1.5024,0.0025,0.0026,0.0051,0.0122,0.0151,0.0051,0.0026,0.0026,0.0179,22.4447,0.0026,0.0026,0.0351,0.0112,0.0846,0.0026,0.0026,2.3274,3.0524
21,2064.85,2064.83,2064.82,2064.81,2064.8,2064.79,2064.78,2064.77,2064.76,2064.72,2064.86,2064.87,2064.91,2064.92,2064.93,2064.94,2064.96,2064.97,2064.98,2064.99,3.8566,0.0025,0.0103,0.005,0.0093,0.005,0.0075,0.0076,0.5652,0.0174,35.079,4.8462,0.0143,0.0026,0.0026,0.0086,0.0326,2.0321,0.6001,0.0026
22,2064.92,2064.91,2064.88,2064.87,2064.81,2064.8,2064.79,2064.78,2064.76,2064.74,2064.93,2064.94,2065,2065.01,2065.02,2065.03,2065.04,2065.05,2065.06,2065.07,33.938,0.0025,0.0026,0.135,0.1036,0.1291,8.8616,0.0375,1.1919,0.0025,11.5183,0.0026,0.0077,0.0076,0.0139,0.0076,0.0294,0.0051,0.0076,0.019
23,2066.58,2066.57,2066.56,2066.54,2066.51,2066.5,2066.49,2066.48,2066.47,2066.46,2066.59,2066.6,2066.61,2066.62,2066.63,2066.64,2066.65,2066.66,2066.67,2066.68,0.01,0.005,0.0077,0.0025,0.0091,0.008,0.0025,0.0417,0.0025,0.0195,48.3615,0.2195,0.0076,0.0051,0.0026,0.0154,0.0051,0.0051,0.0351,0.611
24,2069.33,2069.32,2069.31,2069.3,2069.29,2069.28,2069.26,2069.25,2069.24,2069.23,2069.34,2069.35,2069.36,2069.37,2069.41,2069.42,2069.46,2069.49,2069.5,2069.51,0.3791,0.036,0.0075,0.012,0.0025,0.0075,0.0025,0.0025,0.0142,0.0049,53.9335,3.9994,2.2462,2.014,2.0279,1.893,0.0326,5.3421,0.0026,0.0051
25,2070.11,2070.1,2070.09,2070.08,2070.07,2070.06,2070,2069.99,2069.95,2069.94,2070.12,2070.13,2070.14,2070.15,2070.16,2070.17,2070.18,2070.19,2070.2,2070.21,0.065,0.0151,1.4533,0.0076,0.0093,0.0025,0.0025,0.0153,0.0025,0.0174,35.2603,0.0026,0.0103,0.0076,0.0151,0.0051,0.1559,0.1427,0.011,0.0474
26,2069.41,2069.4,2069.38,2069.37,2069.36,2069.35,2069.34,2069.33,2069.32,2069.31,2069.42,2069.46,2069.5,2069.53,2069.55,2069.58,2069.59,2069.6,2069.61,2069.63,2.0894,0.0278,0.0293,0.0466,0.0152,0.0102,0.126,0.048,0.0113,0.0163,85.1176,0.0351,0.0051,0.0052,0.0428,0.5224,1.745,0.0051,0.01,4.8542
27,2068.38,2068.37,2068.31,2068.3,2068.29,2068.28,2068.27,2068.26,2068.25,2068.24,2068.39,2068.4,2068.41,2068.42,2068.44,2068.45,2068.46,2068.47,2068.48,2068.49,1.2892,0.0025,0.0051,0.0076,0.0051,0.0144,0.0051,0.0026,0.0025,0.005,22.6049,0.0106,0.0076,0.0076,0.0215,0.0076,0.0026,0.0351,0.0051,0.0274
28,2068.92,2068.91,2068.9,2068.83,2068.8,2068.74,2068.73,2068.72,2068.71,2068.7,2068.93,2068.94,2068.95,2068.96,2068.97,2068.98,2068.99,2069,2069.01,2069.02,8.7599,0.0051,0.0076,0.0051,0.0139,0.0376,0.0077,0.1235,0.051,0.0081,41.0697,0.0026,0.0076,0.0051,0.0405,0.0026,0.0142,0.0081,0.0376,0.0254
29,2068.47,2068.46,2068.45,2068.44,2068.43,2068.42,2068.41,2068.4,2068.39,2068.38,2068.48,2068.5,2068.53,2068.54,2068.55,2068.56,2068.57,2068.58,2068.6,2068.62,5.8289,0.0699,0.0076,0.0102,0.2201,0.0051,0.0051,0.0081,0.0051,0.0761,58.4729,0.0051,0.0155,0.0051,0.0051,0.0459,0.0076,0.0051,0.0051,28.4849
30,2068.49,2068.48,2068.47,2068.46,2068.42,2068.41,2068.4,2068.39,2068.38,2068.37,2068.5,2068.51,2068.54,2068.56,2068.57,2068.58,2068.59,2068.6,2068.61,2068.62,0.0174,0.0101,0.0101,0.0195,0.0051,0.0102,0.1423,0.0051,0.0076,0.0127,43.0163,4.8377,0.0051,0.03,4.4645,6.8514,21.2486,22.8489,0.4399,1.0194
