timestamp,bid_price_0,bid_price_1,bid_price_2,bid_price_3,bid_price_4,bid_price_5,bid_price_6,bid_price_7,bid_price_8,bid_price_9,ask_price_0,ask_price_1,ask_price_2,ask_price_3,ask_price_4,ask_price_5,ask_price_6,ask_price_7,ask_price_8,ask_price_9,bid_size_0,bid_size_1,bid_size_2,bid_size_3,bid_size_4,bid_size_5,bid_size_6,bid_size_7,bid_size_8,bid_size_9,ask_size_0,ask_size_1,ask_size_2,ask_size_3,ask_size_4,ask_size_5,ask_size_6,ask_size_7,ask_size_8,ask_size_9
0,0.001066,0.001065,0.001064,0.001063,0.001062,0.001061,0.00106,0.001059,0.001058,0.001057,0.001067,0.001068,0.001069,0.00107,0.001071,0.001072,0.001073,0.001074,0.001075,0.001076,202324,1534712,2601797,1926075,2338572,1107122,1072768,291010,653513,101250,101250,1307370,786834,1397985,522420,839129,255941,1372537,189595,645468
1,0.001065,0.001064,0.001063,0.001062,0.001061,0.00106,0.001059,0.001058,0.001057,0.001056,0.001066,0.001067,0.001068,0.001069,0.00107,0.001071,0.001072,0.001073,0.001074,0.001075,179140,1820932,2427105,1457079,1621270,1267264,1089184,653513,101250,314447,2248217,678881,856361,837954,967125,522420,1454790,101250,757021,189595
2,0.001064,0.001063,0.001062,0.001061,0.00106,0.001059,0.001058,0.001057,0.001056,0.001055,0.001066,0.001067,0.001068,0.001069,0.00107,0.001071,0.001072,0.001073,0.001074,0.001075,444241,1218023,2861191,1298864,2920444,529802,1042497,236576,314447,904420,1245311,979113,832834,413268,1028203,584577,1392879,101250,757021,301729
3,0.001064,0.001063,0.001062,0.001061,0.00106,0.001059,0.001058,0.001057,0.001056,0.001055,0.001065,0.001066,0.001067,0.001068,0.001069,0.00107,0.001071,0.001072,0.001073,0.001074,280390,1218023,3509918,669375,2920444,529802,1042497,236576,314447,904420,101250,615822,1627840,832834,413268,1028203,584577,1392879,101250,757021
4,0.001063,0.001062,0.001061,0.00106,0.001059,0.001058,0.001057,0.001056,0.001055,0.001054,0.001065,0.001066,0.001067,0.001068,0.001069,0.00107,0.001071,0.001072,0.001073,0.001074,1294423,4150342,1317592,2920444,529802,1042497,236576,314447,904420,291367,266948,615822,2020054,977052,413268,1028203,373965,1392618,101250,757021
5,0.001064,0.001063,0.001062,0.001061,0.00106,0.001059,0.001058,0.001057,0.001056,0.001055,0.001065,0.001066,0.001067,0.001068,0.001069,0.00107,0.001071,0.001072,0.001073,0.001074,287022,1288581,2861191,669379,3002216,529802,1042497,236576,314447,904420,101250,615822,979113,1377052,413268,1028203,505577,1392618,101250,757021
6,0.001064,0.001063,0.001062,0.001061,0.00106,0.001059,0.001058,0.001057,0.001056,0.001055,0.001065,0.001066,0.001067,0.001068,0.001069,0.00107,0.001071,0.001072,0.001073,0.001074,287031,1288581,2861191,669379,3002216,719651,1042497,236576,314447,904420,101250,717072,979113,1377052,413268,1028203,505577,1392618,101250,757021
7,0.001063,0.001062,0.001061,0.00106,0.001059,0.001058,0.001057,0.001056,0.001055,0.001054,0.001064,0.001065,0.001066,0.001067,0.001068,0.001069,0.00107,0.001071,0.001072,0.001073,210438,3061000,1425306,3002216,529802,1042497,236576,314447,904420,291367,254266,237714,717072,979113,1378441,413268,1028203,1121147,777218,101250
8,0.001063,0.001062,0.001061,0.00106,0.001059,0.001058,0.001057,0.001056,0.001055,0.001054,0.001064,0.001065,0.001066,0.001067,0.001068,0.001069,0.00107,0.001071,0.001072,0.001073,210438,3061000,1411132,2919592,529802,1042497,236576,314447,904420,291367,214990,237714,717072,979113,1378441,413268,1028203,1121147,777218,101250
9,0.001066,0.001065,0.001064,0.001063,0.001062,0.001061,0.00106,0.001059,0.001058,0.001057,0.001067,0.001068,0.001069,0.00107,0.001071,0.001072,0.001073,0.001074,0.001075,0.001076,287091,869277,1337096,1703394,3795350,669660,1072750,462291,977156,101250,101250,850177,793314,1392983,505577,841862,246149,1258367,189595,645468
