timestamp,bid_price_0,bid_price_1,bid_price_2,bid_price_3,bid_price_4,bid_price_5,bid_price_6,bid_price_7,bid_price_8,bid_price_9,ask_price_0,ask_price_1,ask_price_2,ask_price_3,ask_price_4,ask_price_5,ask_price_6,ask_price_7,ask_price_8,ask_price_9,bid_size_0,bid_size_1,bid_size_2,bid_size_3,bid_size_4,bid_size_5,bid_size_6,bid_size_7,bid_size_8,bid_size_9,ask_size_0,ask_size_1,ask_size_2,ask_size_3,ask_size_4,ask_size_5,ask_size_6,ask_size_7,ask_size_8,ask_size_9
0,2.681,2.68,2.679,2.678,2.677,2.676,2.675,2.674,2.673,2.672,2.683,2.684,2.685,2.686,2.687,2.688,2.689,2.69,2.691,2.692,44.24,262.08,545.83,319.19,628.25,1510.27,2222.64,761.89,458.27,223.83,184.04,527.4,640.25,1099.98,623.46,1495.79,480.69,885.87,101.23,517.53
1,2.679,2.678,2.677,2.676,2.675,2.674,2.673,2.672,2.671,2.67,2.68,2.681,2.682,2.683,2.684,2.685,2.686,2.687,2.688,2.689,44.24,230.27,716.67,449.73,878.62,1609.84,1460.05,617.38,663.63,793.87,40.5,343.51,708.37,532.94,569.92,607.03,1558.08,475.02,882.94,212.9
2,2.68,2.679,2.678,2.677,2.676,2.675,2.674,2.673,2.672,2.671,2.681,2.682,2.683,2.684,2.685,2.686,2.687,2.688,2.689,2.69,40.5,227.49,346.92,758.75,541.58,1635.67,2253.17,1120.84,158.86,663.63,44.24,527.55,491.1,1288.48,500.12,1145.1,475.02,882.94,212.9,872.8
3,2.678,2.677,2.676,2.675,2.674,2.673,2.672,2.671,2.67,2.669,2.679,2.68,2.681,2.682,2.683,2.684,2.685,2.686,2.687,2.688,44.24,245.61,247.27,928.49,964.43,2105.17,1180.43,677.6,965.76,664.16,40.5,575.6,463,1319.72,451.85,1225.77,736.87,588.27,196.1,882.94
4,2.678,2.677,2.676,2.675,2.674,2.673,2.672,2.671,2.67,2.669,2.68,2.681,2.682,2.683,2.684,2.685,2.686,2.687,2.688,2.689,44.24,206.08,377.87,797.94,588.85,1289.61,1180.43,458.5,350.03,664.16,451.02,378.22,723.22,1306.05,1126.75,488.32,978.72,196.1,493,212.9
5,2.677,2.676,2.675,2.674,2.673,2.672,2.671,2.67,2.669,2.668,2.678,2.679,2.68,2.681,2.682,2.683,2.684,2.685,2.686,2.687,3.74,94.82,268.24,438.3,791.78,596.62,1096.14,1179.36,985.89,330.92,451.17,456.83,613.5,535.19,1107.03,501.71,729.08,923.83,847.54,332.74
6,2.676,2.675,2.674,2.673,2.672,2.671,2.67,2.669,2.668,2.667,2.677,2.678,2.679,2.68,2.681,2.682,2.683,2.684,2.685,2.686,83.74,114.4,323.37,750.8,236.84,792.58,780.03,3017.7,158.86,219.22,44.24,457.88,390.38,715.14,532.7,1482.78,771.39,550.07,436.85,847.54
7,2.676,2.675,2.674,2.673,2.672,2.671,2.67,2.669,2.668,2.667,2.677,2.678,2.679,2.68,2.681,2.682,2.683,2.684,2.685,2.686,44.24,151.83,307.75,588.81,1024.85,1477.65,1956.23,1477.03,158.86,233.05,40.5,137.26,460.6,922.63,1171.97,1126.72,350.43,680.47,436.85,847.54
8,2.68,2.679,2.678,2.677,2.676,2.675,2.674,2.673,2.672,2.671,2.681,2.682,2.683,2.684,2.685,2.686,2.687,2.688,2.689,2.69,53.3,104.02,421.66,713.9,215.7,457.89,1430.37,1479.76,810.58,792.58,47.04,600.63,657.19,1276.33,490.55,1069.75,343.26,493,617.09,656.41
9,2.685,2.684,2.683,2.682,2.681,2.68,2.679,2.678,2.677,2.676,2.687,2.688,2.689,2.69,2.691,2.692,2.693,2.694,2.695,2.696,116.1,450.58,816.93,503.6,511.97,2257.06,457.41,158.84,1424.46,158.85,275.08,669.21,877.3,784.66,292.26,867.77,716.48,366.47,509.65,532.48
10,2.686,2.685,2.684,2.683,2.682,2.681,2.68,2.679,2.678,2.677,2.687,2.688,2.689,2.69,2.691,2.692,2.693,2.694,2.695,2.696,40.5,171.9,512.8,724.28,229.05,876.57,1000.97,465.15,2827.45,662.17,117.72,455.78,227.98,769.63,292.26,809.41,539.75,510.74,683.74,532.48
11,2.687,2.686,2.685,2.684,2.683,2.682,2.681,2.68,2.679,2.678,2.688,2.689,2.69,2.691,2.692,2.693,2.694,2.695,2.696,2.697,59.62,471.78,599.4,572.66,675.43,2073.87,1475.63,1042.81,457.41,158.84,44.22,271.77,798.84,1034.12,752.87,657.9,969.28,492.82,541.46,783.24
12,2.688,2.687,2.686,2.685,2.684,2.683,2.682,2.681,2.68,2.679,2.689,2.69,2.691,2.692,2.693,2.694,2.695,2.696,2.697,2.698,211.41,234.62,480.14,791.41,588.83,1474.78,1080.61,1091.61,570.97,457.41,3.72,249.38,758.42,883.78,612.04,773.22,795.57,589.35,783.24,196.02
13,2.69,2.689,2.688,2.687,2.686,2.685,2.684,2.683,2.682,2.681,2.691,2.692,2.693,2.694,2.695,2.696,2.697,2.698,2.699,2.7,146.9,149.53,288.7,316.67,393.34,664.96,2032.78,1887.09,760.37,464.83,629.81,330.71,1191.66,903.38,904.88,1030.82,792.22,196.02,508.86,521.69
14,2.69,2.689,2.688,2.687,2.686,2.685,2.684,2.683,2.682,2.681,2.691,2.692,2.693,2.694,2.695,2.696,2.697,2.698,2.699,2.7,40.5,288.18,614.69,586.17,243.41,559.01,2964.18,953.76,158.83,647.48,23.51,244.14,728.77,1482.25,492.82,397.63,803.68,253.11,699.78,240.61
15,2.69,2.689,2.688,2.687,2.686,2.685,2.684,2.683,2.682,2.681,2.691,2.692,2.693,2.694,2.695,2.696,2.697,2.698,2.699,2.7,40.5,213.72,435.86,751.89,639.74,557.19,3116.46,1063.38,158.83,647.48,61.21,173.92,798.99,1538.21,492.82,397.63,803.68,253.11,699.78,240.61
16,2.688,2.687,2.686,2.685,2.684,2.683,2.682,2.681,2.68,2.679,2.689,2.69,2.691,2.692,2.693,2.694,2.695,2.696,2.697,2.698,118.63,430.48,504.82,911.43,588.83,1482.13,991.79,1128.46,158.84,628.5,40.5,154.22,629.47,415.88,638.09,735.92,812.15,903.34,601.3,196.02
17,2.688,2.687,2.686,2.685,2.684,2.683,2.682,2.681,2.68,2.679,2.689,2.69,2.691,2.692,2.693,2.694,2.695,2.696,2.697,2.698,63.35,192.43,733.27,1559.05,1511.05,2704.5,991.79,3995.46,900.32,457.41,110.72,224.94,721.04,558.2,1282.22,1162.56,765,829.86,728.13,196.02
18,2.688,2.687,2.686,2.685,2.684,2.683,2.682,2.681,2.68,2.679,2.689,2.69,2.691,2.692,2.693,2.694,2.695,2.696,2.697,2.698,3.73,273.88,860.62,1291.99,1486.75,883.59,2304.62,2402.24,1544.74,457.41,40.5,353.85,1188.54,540.71,609.17,842.18,1253.96,1043.93,601.3,196.02
19,2.686,2.685,2.684,2.683,2.682,2.681,2.68,2.679,2.678,2.677,2.687,2.688,2.689,2.69,2.691,2.692,2.693,2.694,2.695,2.696,3.73,94,400.97,1203.63,1486.91,1015.23,2277.11,2797.8,1534.62,871.07,110.72,153.29,704.36,1066.79,827.85,752.92,594.71,724.09,492.82,1070.58
20,2.685,2.684,2.683,2.682,2.681,2.68,2.679,2.678,2.677,2.676,2.686,2.687,2.688,2.689,2.69,2.691,2.692,2.693,2.694,2.695,44.23,597.58,1330.71,1450.8,1594.95,1688.96,823.77,3880.73,1446.54,158.85,70.22,535.61,320.85,586.54,361.21,789.24,1140.48,518.87,285.64,492.82
21,2.686,2.685,2.684,2.683,2.682,2.681,2.68,2.679,2.678,2.677,2.687,2.688,2.689,2.69,2.691,2.692,2.693,2.694,2.695,2.696,78.39,1109.36,877.64,1505.13,1617.27,2253.84,2249.12,838.85,2521.23,699.81,2.8,411.53,1117.65,491.47,789.24,1140.48,518.87,158.81,674.76,1463.23
22,2.691,2.69,2.689,2.688,2.687,2.686,2.685,2.684,2.683,2.682,2.692,2.693,2.694,2.695,2.696,2.697,2.698,2.699,2.7,2.701,26.22,516.13,1106.91,970.52,1729.38,837.17,2530.41,2008.91,1801.06,158.83,44.22,570.42,582.7,1414.67,1029.98,1133.28,407.69,701.09,367.44,386.45
