timestamp,bid_price_0,bid_price_1,bid_price_2,bid_price_3,bid_price_4,bid_price_5,bid_price_6,bid_price_7,bid_price_8,bid_price_9,ask_price_0,ask_price_1,ask_price_2,ask_price_3,ask_price_4,ask_price_5,ask_price_6,ask_price_7,ask_price_8,ask_price_9,bid_size_0,bid_size_1,bid_size_2,bid_size_3,bid_size_4,bid_size_5,bid_size_6,bid_size_7,bid_size_8,bid_size_9,ask_size_0,ask_size_1,ask_size_2,ask_size_3,ask_size_4,ask_size_5,ask_size_6,ask_size_7,ask_size_8,ask_size_9
0,0.2148,0.2147,0.2146,0.2145,0.2144,0.2143,0.2142,0.2141,0.214,0.2139,0.2149,0.215,0.2151,0.2152,0.2153,0.2154,0.2155,0.2156,0.2157,0.2158,1035.3,12512.8,40653.2,36840.3,40627.1,23673.7,30666.7,15320.2,23316.8,4224.4,1396.3,10797.5,28438.7,32118.3,37800.7,10430.3,26803.5,8860.8,7172,4573.5
1,0.2148,0.2147,0.2146,0.2145,0.2144,0.2143,0.2142,0.2141,0.214,0.2139,0.2149,0.215,0.2151,0.2152,0.2153,0.2154,0.2155,0.2156,0.2157,0.2158,495,10840.7,14555.7,47247.5,52801.9,25320.8,31300.9,9540.7,39651.2,4224.4,3073,7784,20741.4,26055.3,40010.5,13935.4,26802.5,2977.3,7172,4573.5
2,0.2148,0.2147,0.2146,0.2145,0.2144,0.2143,0.2142,0.2141,0.214,0.2139,0.2149,0.215,0.2151,0.2152,0.2153,0.2154,0.2155,0.2156,0.2157,0.2158,529.9,8765.8,24305.2,52248.1,44463.1,25960.7,30670.7,3656.2,25634.6,4224.4,1891.3,6647.2,15601.9,49270.3,31957.9,14506.4,26809.5,2977.3,7172,4573.5
3,0.2147,0.2146,0.2145,0.2144,0.2143,0.2142,0.2141,0.214,0.2139,0.2138,0.2148,0.2149,0.215,0.2151,0.2152,0.2153,0.2154,0.2155,0.2156,0.2157,529.9,20443.3,36821.9,48261.8,31211.3,24781.2,10179.2,39651.8,4224.4,19514.8,634,5651.4,13983.4,44699.6,22203.4,36153.1,3436.8,6989.7,2977.3,7172
4,0.2147,0.2146,0.2145,0.2144,0.2143,0.2142,0.2141,0.214,0.2139,0.2138,0.2148,0.2149,0.215,0.2151,0.2152,0.2153,0.2154,0.2155,0.2156,0.2157,495,13436.1,35173.4,49458.8,33040.5,30737.6,10178.2,47868.2,4224.4,19514.8,1261.7,8527.6,27087.7,35785.5,24667.2,26166.1,2794.8,6989.7,2977.3,7172
5,0.2146,0.2145,0.2144,0.2143,0.2142,0.2141,0.214,0.2139,0.2138,0.2137,0.2147,0.2148,0.2149,0.215,0.2151,0.2152,0.2153,0.2154,0.2155,0.2156,495,19188,41876,36696.2,36598.2,19283.3,56905.9,10117.6,19514.8,2365.9,2876.5,8658.8,15430.5,39344,33338,8480.9,20932,2794.8,6989.7,2977.3
6,0.2145,0.2144,0.2143,0.2142,0.2141,0.214,0.2139,0.2138,0.2137,0.2136,0.2146,0.2147,0.2148,0.2149,0.215,0.2151,0.2152,0.2153,0.2154,0.2155,426.3,16781.2,49547.8,37359.4,25557.3,49322.6,14616.4,33545.1,2365.9,6907.6,1893.2,7385,10037.9,27847.9,25577.7,37237.3,9155.2,7271.4,2794.8,32712.9
7,0.2145,0.2144,0.2143,0.2142,0.2141,0.214,0.2139,0.2138,0.2137,0.2136,0.2146,0.2147,0.2148,0.2149,0.215,0.2151,0.2152,0.2153,0.2154,0.2155,70.3,21152.4,40455.1,38074,25561.6,48689.8,15250.1,33544.5,2365.9,6907.6,2807.1,15505.4,24232.4,32237.9,23565.2,43190.9,2794.8,19051.7,2794.8,6989.7
8,0.2142,0.2141,0.214,0.2139,0.2138,0.2137,0.2136,0.2135,0.2134,0.2133,0.2143,0.2144,0.2145,0.2146,0.2147,0.2148,0.2149,0.215,0.2151,0.2152,196.4,17093,48441.6,23908.5,48482.1,39116.2,26595.4,31522,9319.2,2794.9,2948.1,8411.7,11339.2,20576.6,42938.2,17047.4,26850.2,14827.7,13169.2,10966.3
9,0.2141,0.214,0.2139,0.2138,0.2137,0.2136,0.2135,0.2134,0.2133,0.2132,0.2142,0.2143,0.2144,0.2145,0.2146,0.2147,0.2148,0.2149,0.215,0.2151,530.1,18764.3,51285.7,53697,31612.8,30387.1,25763.2,21424,2794.9,17202.5,2809.8,20951.8,7376,23029.6,24558.5,31908.7,8697.4,20957.7,2748.4,6989.7
