timestamp,bid_price_0,bid_price_1,bid_price_2,bid_price_3,bid_price_4,bid_price_5,bid_price_6,bid_price_7,bid_price_8,bid_price_9,ask_price_0,ask_price_1,ask_price_2,ask_price_3,ask_price_4,ask_price_5,ask_price_6,ask_price_7,ask_price_8,ask_price_9,bid_size_0,bid_size_1,bid_size_2,bid_size_3,bid_size_4,bid_size_5,bid_size_6,bid_size_7,bid_size_8,bid_size_9,ask_size_0,ask_size_1,ask_size_2,ask_size_3,ask_size_4,ask_size_5,ask_size_6,ask_size_7,ask_size_8,ask_size_9
0,1,0.9999,0.9998,0.9997,0.9996,0.9995,0.9994,0.9993,0.9992,0.9991,1.0001,1.0002,1.0003,1.0004,1.0005,1.0006,1.0007,1.0008,1.0009,1.001,188036104,19311946,2769820,2500629,6959896,4599821,8047148,53011,508727,281,48670661,82626013,2479066,4312809,3523321,952888,304611,1038058,536460,510105
1,1,0.9999,0.9998,0.9997,0.9996,0.9995,0.9994,0.9993,0.9992,0.9991,1.0001,1.0002,1.0003,1.0004,1.0005,1.0006,1.0007,1.0008,1.0009,1.001,188229585,19311946,2769820,2500629,6959896,4599821,8047148,53011,508727,281,48441693,82653147,2467653,4312809,3523321,952888,304611,1039102,536460,510105
2,1,0.9999,0.9998,0.9997,0.9996,0.9995,0.9994,0.9993,0.9992,0.9991,1.0001,1.0002,1.0003,1.0004,1.0005,1.0006,1.0007,1.0008,1.0009,1.001,188427081,19303841,2769820,2500629,6959896,4599821,8047148,53011,508727,281,48398779,82646013,2476920,4312809,3523321,952888,304611,1039102,536460,510105
3,1,0.9999,0.9998,0.9997,0.9996,0.9995,0.9994,0.9993,0.9992,0.9991,1.0001,1.0002,1.0003,1.0004,1.0005,1.0006,1.0007,1.0008,1.0009,1.001,188658744,19303841,2769820,2500629,6959896,4599821,8047148,53011,508727,281,48118636,82666013,2474985,4312809,3523321,952888,304611,1039102,536460,510105
4,1,0.9999,0.9998,0.9997,0.9996,0.9995,0.9994,0.9993,0.9992,0.9991,1.0001,1.0002,1.0003,1.0004,1.0005,1.0006,1.0007,1.0008,1.0009,1.001,189492713,19393924,2769820,2500629,6959896,4599821,8047148,53011,508727,281,44705046,82851043,2477459,4312809,3523321,952888,304611,1039102,536460,510105
5,1,0.9999,0.9998,0.9997,0.9996,0.9995,0.9994,0.9993,0.9992,0.9991,1.0001,1.0002,1.0003,1.0004,1.0005,1.0006,1.0007,1.0008,1.0009,1.001,191570903,19394197,2769820,2500629,6959896,4599821,8047148,53011,508727,281,41959658,85268613,2476474,4312809,3523321,952888,304611,1039102,536460,510105
6,1,0.9999,0.9998,0.9997,0.9996,0.9995,0.9994,0.9993,0.9992,0.9991,1.0001,1.0002,1.0003,1.0004,1.0005,1.0006,1.0007,1.0008,1.0009,1.001,191790682,19394207,2769830,2500629,6959896,4599821,8047148,53011,508727,281,52305899,84779188,2468636,4312809,3523321,952888,304611,1039102,536460,510105
7,1,0.9999,0.9998,0.9997,0.9996,0.9995,0.9994,0.9993,0.9992,0.9991,1.0001,1.0002,1.0003,1.0004,1.0005,1.0006,1.0007,1.0008,1.0009,1.001,192100971,19394207,2769830,2500629,6959896,4599821,8047148,53011,508727,281,52030018,84799188,2476610,4312809,3523321,952888,305655,1038058,536460,510105
8,1,0.9999,0.9998,0.9997,0.9996,0.9995,0.9994,0.9993,0.9992,0.9991,1.0001,1.0002,1.0003,1.0004,1.0005,1.0006,1.0007,1.0008,1.0009,1.001,192934733,19394257,2769830,2500629,6959896,4599821,8047148,53011,508727,281,51717092,84819188,2476503,4312809,3523321,952888,305655,1038058,536460,510105
9,1,0.9999,0.9998,0.9997,0.9996,0.9995,0.9994,0.9993,0.9992,0.9991,1.0001,1.0002,1.0003,1.0004,1.0005,1.0006,1.0007,1.0008,1.0009,1.001,193193308,19394257,2769830,2500629,6959896,4599821,8047148,53011,508727,281,51395932,84839188,2468636,4312809,3523321,952888,305655,1038058,536460,510105
10,1,0.9999,0.9998,0.9997,0.9996,0.9995,0.9994,0.9993,0.9992,0.9991,1.0001,1.0002,1.0003,1.0004,1.0005,1.0006,1.0007,1.0008,1.0009,1.001,193681835,19418340,2769830,2500629,6959896,4599821,8047148,53011,508727,281,50869455,84879188,2480615,4312809,3523321,953039,305655,1038058,536460,510105
11,1,0.9999,0.9998,0.9997,0.9996,0.9995,0.9994,0.9993,0.9992,0.9991,1.0001,1.0002,1.0003,1.0004,1.0005,1.0006,1.0007,1.0008,1.0009,1.001,193771050,19418722,2769830,2500622,6959896,4599821,8047148,53011,508727,281,50742424,84899188,2479610,4312809,3523321,953039,305655,1038058,536460,510105
12,1,0.9999,0.9998,0.9997,0.9996,0.9995,0.9994,0.9993,0.9992,0.9991,1.0001,1.0002,1.0003,1.0004,1.0005,1.0006,1.0007,1.0008,1.0009,1.001,194159204,19418827,2769830,2500622,6959896,4599821,8047148,53011,508727,281,50462853,84899188,2479136,4312809,3523314,953039,305655,1038058,536460,510105
13,1,0.9999,0.9998,0.9997,0.9996,0.9995,0.9994,0.9993,0.9992,0.9991,1.0001,1.0002,1.0003,1.0004,1.0005,1.0006,1.0007,1.0008,1.0009,1.001,194310308,19394335,2769830,2500622,6959896,4599821,8047148,53011,508727,281,50308962,84919266,2479680,4312809,3523314,953039,305655,1038058,536460,510105
