timestamp,bid_price_0,bid_price_1,bid_price_2,bid_price_3,bid_price_4,bid_price_5,bid_price_6,bid_price_7,bid_price_8,bid_price_9,ask_price_0,ask_price_1,ask_price_2,ask_price_3,ask_price_4,ask_price_5,ask_price_6,ask_price_7,ask_price_8,ask_price_9,bid_size_0,bid_size_1,bid_size_2,bid_size_3,bid_size_4,bid_size_5,bid_size_6,bid_size_7,bid_size_8,bid_size_9,ask_size_0,ask_size_1,ask_size_2,ask_size_3,ask_size_4,ask_size_5,ask_size_6,ask_size_7,ask_size_8,ask_size_9
0,0.1648,0.1647,0.1646,0.1645,0.1644,0.1643,0.1642,0.1641,0.164,0.1639,0.1649,0.165,0.1651,0.1652,0.1653,0.1654,0.1655,0.1656,0.1657,0.1658,47826,82655,97377,129564,351926,206511,241154,240792,38803,87672,20163,110166,240463,195264,308680,400063,48436,37119,30837,230415
1,0.1649,0.1648,0.1647,0.1646,0.1645,0.1644,0.1643,0.1642,0.1641,0.164,0.165,0.1651,0.1652,0.1653,0.1654,0.1655,0.1656,0.1657,0.1658,0.1659,46379,88979,133056,166147,219372,135277,203658,241067,239084,39409,22797,207401,252271,176784,570358,52232,41418,52801,215270,85940
2,0.1651,0.165,0.1649,0.1648,0.1647,0.1646,0.1645,0.1644,0.1643,0.1642,0.1652,0.1653,0.1654,0.1655,0.1656,0.1657,0.1658,0.1659,0.166,0.1661,17216,66649,120122,173916,50215,34136,42114,140679,208443,219094,62449,272540,239776,437346,48264,57901,225898,81855,39658,55054
3,0.1649,0.1648,0.1647,0.1646,0.1645,0.1644,0.1643,0.1642,0.1641,0.164,0.165,0.1651,0.1652,0.1653,0.1654,0.1655,0.1656,0.1657,0.1658,0.1659,19391,76405,117984,145250,211125,143099,212856,249125,239076,45746,47946,164194,219912,437057,223285,266858,41821,52801,221692,88525
4,0.1648,0.1647,0.1646,0.1645,0.1644,0.1643,0.1642,0.1641,0.164,0.1639,0.1649,0.165,0.1651,0.1652,0.1653,0.1654,0.1655,0.1656,0.1657,0.1658,26128,76714,110017,179642,304097,214986,262096,239076,30114,74223,40003,141811,160685,163957,542197,38816,259662,37914,44123,238200
5,0.1648,0.1647,0.1646,0.1645,0.1644,0.1643,0.1642,0.1641,0.164,0.1639,0.1649,0.165,0.1651,0.1652,0.1653,0.1654,0.1655,0.1656,0.1657,0.1658,43500,93274,99388,179210,303454,218619,257545,240784,30387,74223,19887,127222,181989,153221,573989,38865,260259,37318,46084,236240
6,0.1648,0.1647,0.1646,0.1645,0.1644,0.1643,0.1642,0.1641,0.164,0.1639,0.1649,0.165,0.1651,0.1652,0.1653,0.1654,0.1655,0.1656,0.1657,0.1658,47012,97134,123751,178257,300752,217889,257545,240784,39544,89416,52583,110149,179423,169732,563817,38850,257064,37119,30931,236240
7,0.1647,0.1646,0.1645,0.1644,0.1643,0.1642,0.1641,0.164,0.1639,0.1638,0.1648,0.1649,0.165,0.1651,0.1652,0.1653,0.1654,0.1655,0.1656,0.1657,28726,71898,132670,293087,373971,265479,240784,30387,89416,56346,33074,107526,128376,207255,247509,330836,35735,254094,37119,30931
8,0.1645,0.1644,0.1643,0.1642,0.1641,0.164,0.1639,0.1638,0.1637,0.1636,0.1646,0.1647,0.1648,0.1649,0.165,0.1651,0.1652,0.1653,0.1654,0.1655,37260,143454,409326,288591,216850,45528,242662,43966,26360,34805,24251,112912,181755,154710,245140,78123,41060,271684,30268,286022
9,0.1644,0.1643,0.1642,0.1641,0.164,0.1639,0.1638,0.1637,0.1636,0.1635,0.1645,0.1646,0.1647,0.1648,0.1649,0.165,0.1651,0.1652,0.1653,0.1654,14436,90594,181448,300083,465499,54945,48392,225476,27903,111203,70120,117161,180744,189152,256946,50092,62251,244745,255116,236741
10,0.1643,0.1642,0.1641,0.164,0.1639,0.1638,0.1637,0.1636,0.1635,0.1634,0.1644,0.1645,0.1646,0.1647,0.1648,0.1649,0.165,0.1651,0.1652,0.1653,31453,69609,140681,254763,219945,211859,250844,27922,295601,17577,3720,82602,136911,166837,313732,89643,50275,116182,35445,201208
11,0.1645,0.1644,0.1643,0.1642,0.1641,0.164,0.1639,0.1638,0.1637,0.1636,0.1646,0.1647,0.1648,0.1649,0.165,0.1651,0.1652,0.1653,0.1654,0.1655,19414,45256,100654,219244,274530,248133,258063,53728,46224,27922,35385,160911,193404,284086,56852,117617,107100,222664,443926,36348
12,0.1642,0.1641,0.164,0.1639,0.1638,0.1637,0.1636,0.1635,0.1634,0.1633,0.1643,0.1644,0.1645,0.1646,0.1647,0.1648,0.1649,0.165,0.1651,0.1652,64,66679,216819,275275,44750,55533,245319,249027,41092,62314,90486,130959,133200,123576,68399,112175,69697,196080,309480,81147
13,0.1641,0.164,0.1639,0.1638,0.1637,0.1636,0.1635,0.1634,0.1633,0.1632,0.1642,0.1643,0.1644,0.1645,0.1646,0.1647,0.1648,0.1649,0.165,0.1651,20438,90631,194957,364030,270557,260044,44897,41092,246171,73484,28987,111353,144571,147655,264911,56831,93878,169069,198047,257483
14,0.1646,0.1645,0.1644,0.1643,0.1642,0.1641,0.164,0.1639,0.1638,0.1637,0.1647,0.1648,0.1649,0.165,0.1651,0.1652,0.1653,0.1654,0.1655,0.1656,21309,44619,62703,107787,150189,283977,53699,50246,287443,49851,74206,180182,144278,314381,412584,84526,59163,249673,42740,158336
