timestamp,bid_price_0,bid_price_1,bid_price_2,bid_price_3,bid_price_4,bid_price_5,bid_price_6,bid_price_7,bid_price_8,bid_price_9,ask_price_0,ask_price_1,ask_price_2,ask_price_3,ask_price_4,ask_price_5,ask_price_6,ask_price_7,ask_price_8,ask_price_9,bid_size_0,bid_size_1,bid_size_2,bid_size_3,bid_size_4,bid_size_5,bid_size_6,bid_size_7,bid_size_8,bid_size_9,ask_size_0,ask_size_1,ask_size_2,ask_size_3,ask_size_4,ask_size_5,ask_size_6,ask_size_7,ask_size_8,ask_size_9
0,1.2966,1.2965,1.2964,1.2963,1.2962,1.2961,1.296,1.2959,1.2958,1.2957,1.2967,1.2968,1.2969,1.297,1.2971,1.2972,1.2973,1.2974,1.2975,1.2976,6287.5,19038.6,47253.8,78796.8,60859.2,30223.3,19410.2,38115.1,33271,40706.5,41838.3,45159.9,46826.3,79333.2,17593.6,37544.3,37918.8,10406.8,29849.5,56508
1,1.296,1.2959,1.2958,1.2957,1.2956,1.2955,1.2954,1.2953,1.2952,1.2951,1.2961,1.2962,1.2963,1.2964,1.2965,1.2966,1.2967,1.2968,1.2969,1.297,10303.4,31108.3,42258.4,11495.1,36822.8,3229,10542.4,39117.7,33500.9,25500.1,23137.9,12352,34474.7,45762,49392.8,39284.3,42473,50673.3,57548.3,69880.4
2,1.2954,1.2953,1.2952,1.2951,1.295,1.2949,1.2948,1.2947,1.2946,1.2945,1.2955,1.2956,1.2957,1.2958,1.2959,1.296,1.2961,1.2962,1.2963,1.2964,3184.9,3683.7,7917.3,32523.2,33892.8,12565,27872.9,33571.7,1713.1,7243.8,27932.2,37843,31801.5,16994.2,62996.1,39595,20131.2,19551.2,47955.5,52883.8
3,1.2946,1.2945,1.2944,1.2943,1.2942,1.2941,1.294,1.2939,1.2938,1.2937,1.2947,1.2948,1.2949,1.295,1.2951,1.2952,1.2953,1.2954,1.2955,1.2956,25309.9,56659.6,52749.5,42731.4,49658.4,19915.7,32294.4,24208.1,3458.4,22502.6,4009.8,18010,5479.7,26626.3,57155.8,34496,28812.4,18359,49370,37403
4,1.2948,1.2947,1.2946,1.2945,1.2944,1.2943,1.2942,1.2941,1.294,1.2939,1.2949,1.295,1.2951,1.2952,1.2953,1.2954,1.2955,1.2956,1.2957,1.2958,11653.4,15860.5,33498,77301.2,49949.2,18092.7,39924.1,20374.2,40576.2,36625.9,24415.8,36365.5,17259.2,27969.1,44377.6,26612.5,43360.9,35730.6,24803.2,20286.7
5,1.2945,1.2944,1.2943,1.2942,1.2941,1.294,1.2939,1.2938,1.2937,1.2936,1.2946,1.2947,1.2948,1.2949,1.295,1.2951,1.2952,1.2953,1.2954,1.2955,5453.6,9781.3,9499.7,42798.2,16693.2,37912.5,49172.2,11471.3,30247.9,56574.8,48953.2,38811.5,48280,56761.8,62308.3,39975.5,34971.7,18190.1,51530.9,23602.5
6,1.295,1.2949,1.2948,1.2947,1.2946,1.2945,1.2944,1.2943,1.2942,1.2941,1.2951,1.2952,1.2953,1.2954,1.2955,1.2956,1.2957,1.2958,1.2959,1.296,20825.1,54245.9,50183.9,26842,28539.9,48549.3,36437.8,29347.3,30945.9,17315.7,13265.7,13518.3,7500.3,14682.8,15267.4,20108.2,13118,13131.3,33150.8,72141.8
7,1.2943,1.2942,1.2941,1.294,1.2939,1.2938,1.2937,1.2936,1.2935,1.2934,1.2944,1.2945,1.2946,1.2947,1.2948,1.2949,1.295,1.2951,1.2952,1.2953,1355.3,11913.7,10558.8,33436.7,50888.5,11697.9,33182.6,56862.5,27133.5,24722.8,29609.4,5480.4,12133.2,32274.2,77500.3,111981.5,58960,53995,33250.3,39333.7
8,1.295,1.2949,1.2948,1.2947,1.2946,1.2945,1.2944,1.2943,1.2942,1.2941,1.2951,1.2952,1.2953,1.2954,1.2955,1.2956,1.2957,1.2958,1.2959,1.296,30079.9,59740.8,40025.4,42335.3,64839.6,46754.1,87108.5,71487.9,35406.1,35024.2,8715.7,12678.6,14071.1,12524.1,19356.7,41595.3,35081.9,15367.9,31890.7,61177.5
9,1.2942,1.2941,1.294,1.2939,1.2938,1.2937,1.2936,1.2935,1.2934,1.2933,1.2943,1.2944,1.2945,1.2946,1.2947,1.2948,1.2949,1.295,1.2951,1.2952,19684,9002.5,20833.1,46547.9,9305.2,20749.4,50375.3,28407,30519.4,32963.5,19430.6,23541.8,37719.2,31534.4,23762,82093.4,47144.9,44496.1,59063,40659.5
10,1.2943,1.2942,1.2941,1.294,1.2939,1.2938,1.2937,1.2936,1.2935,1.2934,1.2944,1.2945,1.2946,1.2947,1.2948,1.2949,1.295,1.2951,1.2952,1.2953,17387.3,13087.4,10294.6,30186,35080.9,14779.6,20510.1,42333.8,28417,34676.6,13473.3,27934.1,19250.5,24267.9,88064.1,45449.5,51640.3,53972.7,35487.7,37805.4
11,1.2953,1.2952,1.2951,1.295,1.2949,1.2948,1.2947,1.2946,1.2945,1.2944,1.2954,1.2955,1.2956,1.2957,1.2958,1.2959,1.296,1.2961,1.2962,1.2963,3695.6,18557.9,41084.7,50304.7,52676.2,72001.4,55759.2,49755.5,67969.2,34749.2,28424.2,21504.5,32461.8,18015.9,17811.4,50896,32068,29810.1,32812.9,53753.4
