timestamp,bid_price_0,bid_price_1,bid_price_2,bid_price_3,bid_price_4,bid_price_5,bid_price_6,bid_price_7,bid_price_8,bid_price_9,ask_price_0,ask_price_1,ask_price_2,ask_price_3,ask_price_4,ask_price_5,ask_price_6,ask_price_7,ask_price_8,ask_price_9,bid_size_0,bid_size_1,bid_size_2,bid_size_3,bid_size_4,bid_size_5,bid_size_6,bid_size_7,bid_size_8,bid_size_9,ask_size_0,ask_size_1,ask_size_2,ask_size_3,ask_size_4,ask_size_5,ask_size_6,ask_size_7,ask_size_8,ask_size_9
0,0.3423,0.3422,0.3421,0.342,0.3419,0.3418,0.3417,0.3416,0.3415,0.3414,0.3424,0.3425,0.3426,0.3427,0.3428,0.3429,0.343,0.3431,0.3432,0.3433,29.3,782.6,179.4,1347,3517.9,7095.2,7003.2,3002.4,3270.5,1045.2,373.6,650.9,1343.3,2045.5,3264,1935.1,1508.3,5658.5,9185.5,20344.2
1,0.342,0.3419,0.3418,0.3417,0.3416,0.3415,0.3414,0.3413,0.3412,0.3411,0.3421,0.3422,0.3423,0.3424,0.3425,0.3426,0.3427,0.3428,0.3429,0.343,468,1074.1,1740.8,2722.2,4505.2,6444.6,1765.2,5728.5,3271.3,2723.6,315,371.6,1995.5,1635.1,4302.8,759.1,2219.6,3264,27720.7,344.2
2,0.3416,0.3415,0.3414,0.3413,0.3412,0.3411,0.341,0.3409,0.3408,0.3407,0.3417,0.3418,0.3419,0.342,0.3421,0.3422,0.3423,0.3424,0.3425,0.3426,1484,1086.2,3863.9,3071.6,1823.4,4954.7,3272.2,3475.4,1766.7,1621.5,182.4,344.3,1144.6,1407.3,2784.5,4179.2,4410.8,2107.1,27918.7,1074.1
3,0.3418,0.3417,0.3416,0.3415,0.3414,0.3413,0.3412,0.3411,0.341,0.3409,0.3419,0.342,0.3421,0.3422,0.3423,0.3424,0.3425,0.3426,0.3427,0.3428,860.8,344.3,1074.1,1948,4137.9,2798.2,1588.3,8061.8,9287,1836.7,184.6,344.3,1262.8,1102.3,2213.5,4328.2,10225,1074.1,20344.3,3953.1
4,0.342,0.3419,0.3418,0.3417,0.3416,0.3415,0.3414,0.3413,0.3412,0.3411,0.3421,0.3422,0.3423,0.3424,0.3425,0.3426,0.3427,0.3428,0.3429,0.343,574.8,1673,3267.8,2108.2,3951.5,3379.5,11353.8,2241.2,344.4,5582.6,315,1094.3,1995.5,1930.8,4303.6,1249.7,2616.4,5966.8,24074.1,344.2
5,0.342,0.3419,0.3418,0.3417,0.3416,0.3415,0.3414,0.3413,0.3412,0.3411,0.3421,0.3422,0.3423,0.3424,0.3425,0.3426,0.3427,0.3428,0.3429,0.343,753.7,344.3,344.3,1076,2405.1,4077.5,6272.1,5904.1,1765.1,4886.8,184.6,940,1995.8,1930.8,4905.8,5709.8,476,9579.9,21074.1,3008.7
6,0.342,0.3419,0.3418,0.3417,0.3416,0.3415,0.3414,0.3413,0.3412,0.3411,0.3421,0.3422,0.3423,0.3424,0.3425,0.3426,0.3427,0.3428,0.3429,0.343,481.9,1820.4,3267.8,1696.7,2678.6,2872.2,6272.1,5904.1,1765.1,4886.8,344.3,940,1995.8,1930.8,4905.8,5709.8,476,9579.9,21074.1,3008.7
7,0.342,0.3419,0.3418,0.3417,0.3416,0.3415,0.3414,0.3413,0.3412,0.3411,0.3421,0.3422,0.3423,0.3424,0.3425,0.3426,0.3427,0.3428,0.3429,0.343,981.9,1820.4,3267.8,1696.7,3381.4,3380.9,6272.1,5904.1,1765.1,4886.8,29.3,940,1995.8,1930.8,4905.8,5709.8,476,9554.8,21074.1,3008.7
8,0.3422,0.3421,0.342,0.3419,0.3418,0.3417,0.3416,0.3415,0.3414,0.3413,0.3423,0.3424,0.3425,0.3426,0.3427,0.3428,0.3429,0.343,0.3431,0.3432,938.4,634,29.3,3233.9,5040,344.3,2465.4,6014.3,7691.9,2065.6,759.1,1249.4,4158.2,1249.7,3150.8,6670.9,6737.6,344.2,27604.6,1154.5
9,0.3421,0.342,0.3419,0.3418,0.3417,0.3416,0.3415,0.3414,0.3413,0.3412,0.3422,0.3423,0.3424,0.3425,0.3426,0.3427,0.3428,0.3429,0.343,0.3431,529.3,344.3,2502.6,4272.5,964.7,4130.7,6014.3,7691.9,2065.6,1163,315,759.1,1834,4164.4,1979.6,1747.7,4723,12611,344.2,27604.6
