timestamp,bid_price_0,bid_price_1,bid_price_2,bid_price_3,bid_price_4,bid_price_5,bid_price_6,bid_price_7,bid_price_8,bid_price_9,ask_price_0,ask_price_1,ask_price_2,ask_price_3,ask_price_4,ask_price_5,ask_price_6,ask_price_7,ask_price_8,ask_price_9,bid_size_0,bid_size_1,bid_size_2,bid_size_3,bid_size_4,bid_size_5,bid_size_6,bid_size_7,bid_size_8,bid_size_9,ask_size_0,ask_size_1,ask_size_2,ask_size_3,ask_size_4,ask_size_5,ask_size_6,ask_size_7,ask_size_8,ask_size_9
0,0.00381,0.0038,0.00379,0.00378,0.00377,0.00376,0.00375,0.00374,0.00373,0.00372,0.00382,0.00383,0.00384,0.00385,0.00386,0.00387,0.00388,0.00389,0.0039,0.00391,152263.1,1769880.4,2722611.2,1212148.6,1151002.2,1042759.3,610475.7,303152.2,605199.9,565999.2,1062545.2,2860222.9,710551.9,737786.9,657568.5,391421.2,372496.2,591252.2,879150,741313.7
1,0.0038,0.00379,0.00378,0.00377,0.00376,0.00375,0.00374,0.00373,0.00372,0.00371,0.00381,0.00382,0.00383,0.00384,0.00385,0.00386,0.00387,0.00388,0.00389,0.0039,726848.3,3252039.5,2227134.9,1198083.5,1013252.6,595377.7,303152.2,650122.8,565999.2,580514.1,233118.3,1450865.4,2755646.8,905325.1,541502.7,658150.2,333934.1,372496.2,548177,879150
2,0.0038,0.00379,0.00378,0.00377,0.00376,0.00375,0.00374,0.00373,0.00372,0.00371,0.00381,0.00382,0.00383,0.00384,0.00385,0.00386,0.00387,0.00388,0.00389,0.0039,967268.7,2718746,2473196.2,1198083.5,1023824.5,584777.6,347955,605199.9,565999.2,580514.1,128105.2,1450865.4,2344667.1,649871.5,530391.6,658150.2,290636.3,338848.8,644655,879150
3,0.0038,0.00379,0.00378,0.00377,0.00376,0.00375,0.00374,0.00373,0.00372,0.00371,0.00381,0.00382,0.00383,0.00384,0.00385,0.00386,0.00387,0.00388,0.00389,0.0039,967268.7,2484167.6,2152260.8,1198086.1,1013252.6,595377.7,347955,605199.9,565999.2,580514.1,157468.1,1450865.4,2286497.1,649871.5,530391.6,658150.2,290636.3,415682.4,567821.4,879150
4,0.0038,0.00379,0.00378,0.00377,0.00376,0.00375,0.00374,0.00373,0.00372,0.00371,0.00381,0.00382,0.00383,0.00384,0.00385,0.00386,0.00387,0.00388,0.00389,0.0039,911025.4,2657302.1,2158929.8,1198094.4,998194.8,610475.7,347955,605199.9,565999.2,580514.1,95318.7,1450957.3,2286526.1,649871.5,530391.6,658150.2,290636.3,415682.4,567821.4,879150
5,0.0038,0.00379,0.00378,0.00377,0.00376,0.00375,0.00374,0.00373,0.00372,0.00371,0.00382,0.00383,0.00384,0.00385,0.00386,0.00387,0.00388,0.00389,0.0039,0.00391,1157155.3,2223809.6,2579554.3,1198094.4,998194.8,610475.7,347955,605199.9,565999.2,580514.1,1503972.9,2655289.1,646554.8,685243.8,658150.2,390891.2,415682.4,559288.1,879150,353318.7
6,0.00381,0.0038,0.00379,0.00378,0.00377,0.00376,0.00375,0.00374,0.00373,0.00372,0.00382,0.00383,0.00384,0.00385,0.00386,0.00387,0.00388,0.00389,0.0039,0.00391,152263.1,1123244.4,2291724,2474329.7,1198094.4,998194.8,610475.7,303152.2,650122.8,565999.2,624714.4,2764811.1,690378.8,685243.8,658150.2,390891.2,415682.4,559288.1,879150,741313.7
7,0.00381,0.0038,0.00379,0.00378,0.00377,0.00376,0.00375,0.00374,0.00373,0.00372,0.00382,0.00383,0.00384,0.00385,0.00386,0.00387,0.00388,0.00389,0.0039,0.00391,533713.5,1527240.2,2530658.3,2206741,1198094.4,1212194.8,396475.7,258349.4,695045.7,565999.2,787711.3,3024068,690186.3,685243.8,658150.2,390891.2,372496.2,602363.3,879150,353318.7
8,0.0038,0.00379,0.00378,0.00377,0.00376,0.00375,0.00374,0.00373,0.00372,0.00371,0.00381,0.00382,0.00383,0.00384,0.00385,0.00386,0.00387,0.00388,0.00389,0.0039,638185.1,2430149.7,2670833.7,1395476.1,1212194.8,385875.6,224175,695045.7,611042.9,580514.1,1194817.7,2327763.1,2132394,641867.3,530391.6,658150.2,434189,372496.2,563975.6,879150
9,0.0038,0.00379,0.00378,0.00377,0.00376,0.00375,0.00374,0.00373,0.00372,0.00371,0.00381,0.00382,0.00383,0.00384,0.00385,0.00386,0.00387,0.00388,0.00389,0.0039,226370.1,1545609.5,3070583.4,1601153.2,1006181.6,422682.9,482977.8,695045.7,611042.9,580514.1,1194817.7,2023098.6,1448925.4,641867.3,530391.6,701560.2,390891.2,372496.2,563975.6,1267145
10,0.00379,0.00378,0.00377,0.00376,0.00375,0.00374,0.00373,0.00372,0.00371,0.0037,0.0038,0.00381,0.00382,0.00383,0.00384,0.00385,0.00386,0.00387,0.00388,0.00389,1581548,2970594.1,1683666.8,1166201.5,520982.2,619255.4,695045.7,611042.9,580514.1,470388.8,154952.2,1604921.1,2106841.4,1469300.3,478490.8,653751.2,459514.2,290636.3,630678.2,563975.6
11,0.00379,0.00378,0.00377,0.00376,0.00375,0.00374,0.00373,0.00372,0.00371,0.0037,0.0038,0.00381,0.00382,0.00383,0.00384,0.00385,0.00386,0.00387,0.00388,0.00389,1589795.9,2606829.3,2039377.2,1166201.5,536080.2,604117,695045.7,611042.9,580514.1,470388.8,150593.9,1609264.4,2106841.4,1425941.3,478490.8,653751.2,459514.2,290636.3,635365.7,682443.6
12,0.00379,0.00378,0.00377,0.00376,0.00375,0.00374,0.00373,0.00372,0.00371,0.0037,0.0038,0.00381,0.00382,0.00383,0.00384,0.00385,0.00386,0.00387,0.00388,0.00389,1852945.5,2926660.4,1716168.7,1166201.5,520982.2,619255.4,695045.7,611042.9,580514.1,470388.8,153185.6,1604921.1,2306841.4,1240451.3,478490.8,653751.2,459514.2,290636.3,635365.7,559288.1
13,0.00379,0.00378,0.00377,0.00376,0.00375,0.00374,0.00373,0.00372,0.00371,0.0037,0.0038,0.00381,0.00382,0.00383,0.00384,0.00385,0.00386,0.00387,0.00388,0.00389,1870662.7,3776637.2,1701699.9,1166201.5,520982.2,619255.4,695045.7,611042.9,580514.1,470388.8,115637.4,1655105.1,2306841.4,1240451.3,478490.8,653751.2,459514.2,290636.3,635365.7,559288.1
14,0.0038,0.00379,0.00378,0.00377,0.00376,0.00375,0.00374,0.00373,0.00372,0.00371,0.00381,0.00382,0.00383,0.00384,0.00385,0.00386,0.00387,0.00388,0.00389,0.0039,1322542,2529896.9,2723231.6,1203163,1006181.6,546680.3,472349.4,695045.7,611042.9,580514.1,981393.1,2621192.8,1453274.3,673635.5,610228.5,459514.2,333934.1,635365.7,559288.1,1267145
15,0.0038,0.00379,0.00378,0.00377,0.00376,0.00375,0.00374,0.00373,0.00372,0.00371,0.00381,0.00382,0.00383,0.00384,0.00385,0.00386,0.00387,0.00388,0.00389,0.0039,152528.8,2268619.6,2748495.3,1419858.6,916944.6,760680.3,392757.8,605199.9,565999.2,580514.1,1137702.3,2862616.9,1434269.2,673635.5,610228.5,459514.2,333934.1,635365.7,559288.1,1267145
16,0.0038,0.00379,0.00378,0.00377,0.00376,0.00375,0.00374,0.00373,0.00372,0.00371,0.00381,0.00382,0.00383,0.00384,0.00385,0.00386,0.00387,0.00388,0.00389,0.0039,47250,2087124.8,3307777.9,1693566.6,916944.6,894730.5,258349.4,605199.9,565999.2,580514.1,1316267.1,2862616.9,1434269.2,673635.5,610228.5,459514.2,333934.1,558532.1,636121.7,1002305.5
17,0.0038,0.00379,0.00378,0.00377,0.00376,0.00375,0.00374,0.00373,0.00372,0.00371,0.00381,0.00382,0.00383,0.00384,0.00385,0.00386,0.00387,0.00388,0.00389,0.0039,1177050.7,3594109.9,2358052.2,1222476.9,400468.4,766235.2,258349.4,605199.9,565999.2,580514.1,59444.1,1470609.2,2577582.5,740688.5,530391.6,642660.4,333934.1,553844.6,636121.7,1002305.5
18,0.0038,0.00379,0.00378,0.00377,0.00376,0.00375,0.00374,0.00373,0.00372,0.00371,0.00381,0.00382,0.00383,0.00384,0.00385,0.00386,0.00387,0.00388,0.00389,0.0039,1397966.9,3125213.2,1939268.8,1222476.9,489597.4,766235.2,213546.6,560277,565999.2,580514.1,47250,1681733.5,2402970,740688.5,530391.6,642660.4,290636.3,630678.2,559288.1,922114.8
19,0.00381,0.0038,0.00379,0.00378,0.00377,0.00376,0.00375,0.00374,0.00373,0.00372,0.00382,0.00383,0.00384,0.00385,0.00386,0.00387,0.00388,0.00389,0.0039,0.00391,257393.9,1850291.9,2954485,1805259.5,1222476.9,524628,470744.5,258349.4,560277,565999.2,672626.5,3114653.6,784535.7,726658.3,642660.4,390977.7,553844.6,679196.9,879150,741313.7
20,0.00381,0.0038,0.00379,0.00378,0.00377,0.00376,0.00375,0.00374,0.00373,0.00372,0.00382,0.00383,0.00384,0.00385,0.00386,0.00387,0.00388,0.00389,0.0039,0.00391,1167786.6,1845861.6,2514118.7,1735564.7,698961.1,749199.9,504827.8,213546.6,560277,565999.2,609381.7,3044567.4,1309103.4,726658.3,642660.4,390977.7,558532.1,679196.9,879150,741313.7
21,0.00382,0.00381,0.0038,0.00379,0.00378,0.00377,0.00376,0.00375,0.00374,0.00373,0.00383,0.00384,0.00385,0.00386,0.00387,0.00388,0.00389,0.0039,0.00391,0.00392,106118.1,1370350.8,3183514.4,2058651.1,880262.6,689876.9,675962.8,470744.5,480602.7,560277,1177457.4,3194724.4,713242.3,762878.9,590390.2,400314.4,679196.9,879150,741313.7,776605.8
22,0.00382,0.00381,0.0038,0.00379,0.00378,0.00377,0.00376,0.00375,0.00374,0.00373,0.00383,0.00384,0.00385,0.00386,0.00387,0.00388,0.00389,0.0039,0.00391,0.00392,295953.2,1764538.7,2564854.4,1782744.4,969035.8,725736.1,606939.6,415461,480602.7,560277,1177445,2405090.8,770905.4,762878.9,590390.2,400314.4,636121.7,879150,396173.6,1164600.8
23,0.00382,0.00381,0.0038,0.00379,0.00378,0.00377,0.00376,0.00375,0.00374,0.00373,0.00383,0.00384,0.00385,0.00386,0.00387,0.00388,0.00389,0.0039,0.00391,0.00392,253253.2,1644310.5,2620925.6,1792695.4,969035.8,770182.4,606939.6,370777.6,480602.7,560277,1177345.6,3169045,775888.7,762878.9,590390.2,395626.9,636121.7,879150,396173.6,1164600.8
24,0.00382,0.00381,0.0038,0.00379,0.00378,0.00377,0.00376,0.00375,0.00374,0.00373,0.00383,0.00384,0.00385,0.00386,0.00387,0.00388,0.00389,0.0039,0.00391,0.00392,1294184.8,3148482.5,2052275.6,1712993.8,340327.2,727130,322745.4,637123.4,480602.7,560277,47250,1867435.8,2914261.8,767596.3,509694.7,587808.9,401972.1,955983.6,396173.6,480382.9
25,0.00382,0.00381,0.0038,0.00379,0.00378,0.00377,0.00376,0.00375,0.00374,0.00373,0.00384,0.00385,0.00386,0.00387,0.00388,0.00389,0.0039,0.00391,0.00392,0.00393,2015254.1,3264657.1,1630100.9,1712993.8,473313.3,682683.7,278180.9,486580.2,480602.7,560277,1921363.5,3062450.7,806469.4,509694.7,587808.9,401972.1,955983.6,396173.6,480382.9,1197054.8
26,0.00383,0.00382,0.00381,0.0038,0.00379,0.00378,0.00377,0.00376,0.00375,0.00374,0.00384,0.00385,0.00386,0.00387,0.00388,0.00389,0.0039,0.00391,0.00392,0.00393,131704.2,2101402.3,2679026.5,1448919.3,1712993.8,509311.4,646708.4,278180.9,486580.2,480602.7,1042284.3,3192140.8,701145.9,509694.7,587808.9,483493.2,879150,353318.7,357227.4,1362847.1
27,0.00382,0.00381,0.0038,0.00379,0.00378,0.00377,0.00376,0.00375,0.00374,0.00373,0.00383,0.00384,0.00385,0.00386,0.00387,0.00388,0.00389,0.0039,0.00391,0.00392,2316803.1,2969627.7,2013180.9,1712993.8,509311.4,591717.4,333318.2,486580.2,480602.7,560277,153006.9,1720320.4,3142595.7,801835.7,509694.7,587808.9,483493.2,879150,353318.7,399973
28,0.00382,0.00381,0.0038,0.00379,0.00378,0.00377,0.00376,0.00375,0.00374,0.00373,0.00383,0.00384,0.00385,0.00386,0.00387,0.00388,0.00389,0.0039,0.00391,0.00392,1062049.2,2119983.1,2519575,1784327.6,420654,621144.2,348377.6,531263.6,480602.7,560277,1186531.8,2411580.8,2281399.4,801835.7,509694.7,587808.9,483493.2,879150,353318.7,399973
29,0.00382,0.00381,0.0038,0.00379,0.00378,0.00377,0.00376,0.00375,0.00374,0.00373,0.00383,0.00384,0.00385,0.00386,0.00387,0.00388,0.00389,0.0039,0.00391,0.00392,1031375.6,1959781,2404396.2,1695788.6,509427.2,557815.8,367309.9,575947,480602.7,560277,853474,1765680.8,2490574.5,801835.7,509694.7,587808.9,415192.9,955983.6,353318.7,523128.5
30,0.00382,0.00381,0.0038,0.00379,0.00378,0.00377,0.00376,0.00375,0.00374,0.00373,0.00383,0.00384,0.00385,0.00386,0.00387,0.00388,0.00389,0.0039,0.00391,0.00392,1026948.7,2263087.2,2002372.8,1829797.9,509427.2,557815.8,367309.9,575947,480602.7,560277,1163792.6,2356526.8,1776771.6,801835.7,509694.7,587808.9,415192.9,955983.6,396173.6,480382.9
31,0.00382,0.00381,0.0038,0.00379,0.00378,0.00377,0.00376,0.00375,0.00374,0.00373,0.00383,0.00384,0.00385,0.00386,0.00387,0.00388,0.00389,0.0039,0.00391,0.00392,503752.4,3007169.4,2719397.5,1128675.5,429100.4,626800.4,377882.7,575947,480602.7,560277,1186814.5,2357680.8,1777730.6,801835.7,509694.7,587808.9,492026.5,879150,396173.6,745222.4
32,0.00382,0.00381,0.0038,0.00379,0.00378,0.00377,0.00376,0.00375,0.00374,0.00373,0.00383,0.00384,0.00385,0.00386,0.00387,0.00388,0.00389,0.0039,0.00391,0.00392,1026948.7,2334204.5,2783523.1,1195882.3,429100.4,626800.4,288753.7,665313.8,480602.7,560277,1186715.6,2387039,1777684.7,801835.7,509694.7,582782.6,467694.6,879150,396173.6,745222.4
33,0.00381,0.0038,0.00379,0.00378,0.00377,0.00376,0.00375,0.00374,0.00373,0.00372,0.00382,0.00383,0.00384,0.00385,0.00386,0.00387,0.00388,0.00389,0.0039,0.00391,2288832.7,2784839.1,1302809.1,837938.9,733212.9,333318.2,575947,525405.5,560277,297468.7,162887.4,1787088.5,2936396.6,1382995.2,657551.4,509694.7,471028.9,367469.9,922114.8,353318.7
34,0.00381,0.0038,0.00379,0.00378,0.00377,0.00376,0.00375,0.00374,0.00373,0.00372,0.00382,0.00383,0.00384,0.00385,0.00386,0.00387,0.00388,0.00389,0.0039,0.00391,2012422.9,2837472.7,1315586.9,762863.1,504193.4,562377.6,620630.4,480602.7,560277,297468.7,269267.3,1697249.3,2304126.3,1301288.1,657551.4,590763.2,390600.6,410545.1,879150,353318.7
35,0.00381,0.0038,0.00379,0.00378,0.00377,0.00376,0.00375,0.00374,0.00373,0.00372,0.00382,0.00383,0.00384,0.00385,0.00386,0.00387,0.00388,0.00389,0.0039,0.00391,1702373.2,3859162.6,1312516.2,762863.1,504193.4,517813.1,665313.8,480602.7,560277,297468.7,164565.1,1697249.3,2586337,1234235.1,605742.7,590763.2,390600.6,431370,879150,353318.7
36,0.00381,0.0038,0.00379,0.00378,0.00377,0.00376,0.00375,0.00374,0.00373,0.00372,0.00382,0.00383,0.00384,0.00385,0.00386,0.00387,0.00388,0.00389,0.0039,0.00391,1702373.2,3859256.6,1312516.2,762863.1,504193.4,517813.1,665313.8,480602.7,560277,297468.7,164565.1,1697334.8,2588246,1234235.1,605742.7,590763.2,390600.6,431370,879150,353318.7
37,0.00381,0.0038,0.00379,0.00378,0.00377,0.00376,0.00375,0.00374,0.00373,0.00372,0.00382,0.00383,0.00384,0.00385,0.00386,0.00387,0.00388,0.00389,0.0039,0.00391,1807375.7,3629674.7,1673539.4,762863.1,504193.4,517813.1,665313.8,480602.7,560277,297468.7,164565.1,1697334.8,2588269,1234235.1,605742.7,590763.2,433786.8,388294.8,879150,353318.7
38,0.00381,0.0038,0.00379,0.00378,0.00377,0.00376,0.00375,0.00374,0.00373,0.00372,0.00382,0.00383,0.00384,0.00385,0.00386,0.00387,0.00388,0.00389,0.0039,0.00391,1047774.6,2293758.7,2672195.7,967114.3,459747.1,562377.6,354284.6,525405.5,560277,297468.7,997199.3,2400075.4,2090940.2,1234235.1,605742.7,472046.2,433786.8,388294.8,879150,353318.7
39,0.00381,0.0038,0.00379,0.00378,0.00377,0.00376,0.00375,0.00374,0.00373,0.00372,0.00382,0.00383,0.00384,0.00385,0.00386,0.00387,0.00388,0.00389,0.0039,0.00391,1047774.6,2293758.7,2736761,967972.6,459747.1,562377.6,264917.8,615011.1,560277,297468.7,1060414.6,2866642,1373431.2,1234235.1,605742.7,472046.2,433786.8,388294.8,879150,353318.7
40,0.0038,0.00379,0.00378,0.00377,0.00376,0.00375,0.00374,0.00373,0.00372,0.00371,0.00381,0.00382,0.00383,0.00384,0.00385,0.00386,0.00387,0.00388,0.00389,0.0039,2118981,3840243.4,897606.6,858383.6,523955.6,590135.6,615011.1,560277,297468.7,580514.1,162887.4,1551567,2252302.8,1483341.4,1040171.9,605742.7,515344,390600.6,645772,879150
41,0.0038,0.00379,0.00378,0.00377,0.00376,0.00375,0.00374,0.00373,0.00372,0.00371,0.00381,0.00382,0.00383,0.00384,0.00385,0.00386,0.00387,0.00388,0.00389,0.0039,1587024.1,3416122.9,1206455.6,795837.4,464331.7,649918.6,570208.3,605199.9,297468.7,580514.1,167255.7,1660716.8,2440694.8,1434165.5,1040171.9,730278.6,390977.7,467434.2,564250.9,879150
42,0.0038,0.00379,0.00378,0.00377,0.00376,0.00375,0.00374,0.00373,0.00372,0.00371,0.00381,0.00382,0.00383,0.00384,0.00385,0.00386,0.00387,0.00388,0.00389,0.0039,953521.5,2281528.4,1744334.8,865364.5,383277,615196,224175.9,695045.7,297468.7,580514.1,1063542.5,1643120.9,2090814.9,1232887.5,1040171.9,628561.5,390977.7,367469.9,564250.9,879150
43,0.0038,0.00379,0.00378,0.00377,0.00376,0.00375,0.00374,0.00373,0.00372,0.00371,0.00381,0.00382,0.00383,0.00384,0.00385,0.00386,0.00387,0.00388,0.00389,0.0039,47250,1972067.5,3380815.5,653174.2,472537.4,773371.1,580322.3,650122.8,342512.4,580514.1,1109295.9,2220500,2040067.6,1212994.3,1083694.6,571735.5,390977.7,367469.9,564250.9,1002305.5
44,0.0038,0.00379,0.00378,0.00377,0.00376,0.00375,0.00374,0.00373,0.00372,0.00371,0.00381,0.00382,0.00383,0.00384,0.00385,0.00386,0.00387,0.00388,0.00389,0.0039,47250,2414077.1,2912314.4,604355,472537.4,728687.7,580322.3,695045.7,297468.7,625679.2,1117829.2,1603286.3,2611755.2,1199773.6,1083694.6,571735.5,390977.7,367469.9,548113.5,1002305.5
45,0.00379,0.00378,0.00377,0.00376,0.00375,0.00374,0.00373,0.00372,0.00371,0.0037,0.0038,0.00381,0.00382,0.00383,0.00384,0.00385,0.00386,0.00387,0.00388,0.00389,1219372.8,3054636.2,1230858.9,670703.1,728687.7,580322.3,695045.7,342512.4,580514.1,470388.8,51671,1596455.9,2299017.6,1755173,894706.2,1083694.6,571735.5,390977.7,625624.1,548113.5
46,0.00379,0.00378,0.00377,0.00376,0.00375,0.00374,0.00373,0.00372,0.00371,0.0037,0.0038,0.00381,0.00382,0.00383,0.00384,0.00385,0.00386,0.00387,0.00388,0.00389,1635279.3,3028933.4,1210393,670703.1,728687.7,580322.3,695045.7,342512.4,580514.1,470388.8,49943,1661116.7,2481635.7,1122111.4,894706.2,1164725.8,490609.6,390977.7,625624.1,548113.5
47,0.00379,0.00378,0.00377,0.00376,0.00375,0.00374,0.00373,0.00372,0.00371,0.0037,0.0038,0.00381,0.00382,0.00383,0.00384,0.00385,0.00386,0.00387,0.00388,0.00389,1635279.3,2608002.1,1261919,670703.1,718086.8,590951.6,650122.8,387556.1,580514.1,470388.8,49943,1706936.3,2459688.7,1122111.4,894706.2,1164725.8,490609.6,390977.7,625624.1,671269
