symbol,baseAsset,quoteAsset,status,isSpotTradingAllowed,baseAssetPrecision,quotePrecision
ETHBTC,ETH,BTC,TRADING,true,8,8
LTCBTC,LTC,BTC,TRADING,true,8,8
BNBBTC,BNB,BTC,TRADING,true,8,8
NEOBTC,NEO,BTC,TRADING,true,8,8
GASBTC,GAS,BTC,TRADING,true,8,8
BNBETH,BNB,ETH,TRADING,true,8,8
BTCUSDT,BTC,USDT,TRADING,true,8,8
ETHUSDT,ETH,USDT,TRADING,true,8,8
KNCBTC,KNC,BTC,TRADING,true,8,8
IOTABTC,IOTA,BTC,TRADING,true,8,8
LINKBTC,LINK,BTC,TRADING,true,8,8
LINKETH,LINK,ETH,TRADING,true,8,8
ETCBTC,ETC,BTC,TRADING,true,8,8
ZECBTC,ZEC,BTC,TRADING,true,8,8
ZECETH,ZEC,ETH,TRADING,true,8,8
DASHBTC,DASH,BTC,TRADING,true,8,8
TRXBTC,TRX,BTC,TRADING,true,8,8
TRXETH,TRX,ETH,TRADING,true,8,8
XRPBTC,XRP,BTC,TRADING,true,8,8
XRPETH,XRP,ETH,TRADING,true,8,8
BNBUSDT,BNB,USDT,TRADING,true,8,8
BATBTC,BAT,BTC,TRADING,true,8,8
NEOUSDT,NEO,USDT,TRADING,true,8,8
ADXBTC,ADX,BTC,TRADING,true,8,8
ADABTC,ADA,BTC,TRADING,true,8,8
ADAETH,ADA,ETH,TRADING,true,8,8
XLMBTC,XLM,BTC,TRADING,true,8,8
XLMETH,XLM,ETH,TRADING,true,8,8
LTCETH,LTC,ETH,TRADING,true,8,8
LTCUSDT,LTC,USDT,TRADING,true,8,8
LTCBNB,LTC,BNB,TRADING,true,8,8
RLCETH,RLC,ETH,TRADING,true,8,8
STEEMBTC,STEEM,BTC,TRADING,true,8,8
STEEMETH,STEEM,ETH,TRADING,true,8,8
ONTBTC,ONT,BTC,TRADING,true,8,8
QTUMUSDT,QTUM,USDT,TRADING,true,8,8
WANBTC,WAN,BTC,TRADING,true,8,8
ADAUSDT,ADA,USDT,TRADING,true,8,8
ADABNB,ADA,BNB,TRADING,true,8,8
XRPUSDT,XRP,USDT,TRADING,true,8,8
BTCTUSD,BTC,TUSD,TRADING,true,8,8
ETHTUSD,ETH,TUSD,TRADING,true,8,8
ZENBTC,ZEN,BTC,TRADING,true,8,8
THETABTC,THETA,BTC,TRADING,true,8,8
XRPBNB,XRP,BNB,TRADING,true,8,8
TUSDUSDT,TUSD,USDT,TRADING,true,8,8
IOTAUSDT,IOTA,USDT,TRADING,true,8,8
XLMUSDT,XLM,USDT,TRADING,true,8,8
ONTUSDT,ONT,USDT,TRADING,true,8,8
TRXBNB,TRX,BNB,TRADING,true,8,8
TRXUSDT,TRX,USDT,TRADING,true,8,8
ETCUSDT,ETC,USDT,TRADING,true,8,8
ICXUSDT,ICX,USDT,TRADING,true,8,8
VETUSDT,VET,USDT,TRADING,true,8,8
BNBTUSD,BNB,TUSD,TRADING,true,8,8
BNBUSDC,BNB,USDC,TRADING,true,8,8
BTCUSDC,BTC,USDC,TRADING,true,8,8
ETHUSDC,ETH,USDC,TRADING,true,8,8
XRPUSDC,XRP,USDC,TRADING,true,8,8
XLMUSDC,XLM,USDC,TRADING,true,8,8
USDCUSDT,USDC,USDT,TRADING,true,8,8
TRXXRP,TRX,XRP,TRADING,true,8,8
LINKUSDT,LINK,USDT,TRADING,true,8,8
LINKUSDC,LINK,USDC,TRADING,true,8,8
LTCUSDC,LTC,USDC,TRADING,true,8,8
TRXUSDC,TRX,USDC,TRADING,true,8,8
ONGBTC,ONG,BTC,TRADING,true,8,8
ONGUSDT,ONG,USDT,TRADING,true,8,8
HOTUSDT,HOT,USDT,TRADING,true,8,8
ZILUSDT,ZIL,USDT,TRADING,true,8,8
ZRXUSDT,ZRX,USDT,TRADING,true,8,8
FETBNB,FET,BNB,TRADING,true,8,8
FETBTC,FET,BTC,TRADING,true,8,8
FETUSDT,FET,USDT,TRADING,true,8,8
BATUSDT,BAT,USDT,TRADING,true,8,8
ZECUSDT,ZEC,USDT,TRADING,true,8,8
ZECUSDC,ZEC,USDC,TRADING,true,8,8
IOSTUSDT,IOST,USDT,TRADING,true,8,8
CELRUSDT,CELR,USDT,TRADING,true,8,8
ADAUSDC,ADA,USDC,TRADING,true,8,8
NEOUSDC,NEO,USDC,TRADING,true,8,8
DASHUSDT,DASH,USDT,TRADING,true,8,8
THETAUSDT,THETA,USDT,TRADING,true,8,8
ENJUSDT,ENJ,USDT,TRADING,true,8,8
ATOMBTC,ATOM,BTC,TRADING,true,8,8
ATOMUSDT,ATOM,USDT,TRADING,true,8,8
ATOMUSDC,ATOM,USDC,TRADING,true,8,8
ETCUSDC,ETC,USDC,TRADING,true,8,8
TFUELBTC,TFUEL,BTC,TRADING,true,8,8
TFUELUSDT,TFUEL,USDT,TRADING,true,8,8
ONEUSDT,ONE,USDT,TRADING,true,8,8
ALGOBTC,ALGO,BTC,TRADING,true,8,8
ALGOUSDT,ALGO,USDT,TRADING,true,8,8
ALGOUSDC,ALGO,USDC,TRADING,true,8,8
DOGEBTC,DOGE,BTC,TRADING,true,8,8
DOGEUSDT,DOGE,USDT,TRADING,true,8,8
DOGEUSDC,DOGE,USDC,TRADING,true,8,8
DUSKBTC,DUSK,BTC,TRADING,true,8,8
DUSKUSDT,DUSK,USDT,TRADING,true,8,8
ANKRUSDT,ANKR,USDT,TRADING,true,8,8
ONTUSDC,ONT,USDC,TRADING,true,8,8
WINUSDT,WIN,USDT,TRADING,true,8,8
COSUSDT,COS,USDT,TRADING,true,8,8
MTLUSDT,MTL,USDT,TRADING,true,8,8
DENTUSDT,DENT,USDT,TRADING,true,8,8
WANUSDT,WAN,USDT,TRADING,true,8,8
FUNUSDT,FUN,USDT,TRADING,true,8,8
CVCUSDT,CVC,USDT,TRADING,true,8,8
WINTRX,WIN,TRX,TRADING,true,8,8
CHZBTC,CHZ,BTC,TRADING,true,8,8
CHZUSDT,CHZ,USDT,TRADING,true,8,8
BANDBTC,BAND,BTC,TRADING,true,8,8
BANDUSDT,BAND,USDT,TRADING,true,8,8
XTZBTC,XTZ,BTC,TRADING,true,8,8
XTZUSDT,XTZ,USDT,TRADING,true,8,8
RVNUSDT,RVN,USDT,TRADING,true,8,8
HBARBNB,HBAR,BNB,TRADING,true,8,8
HBARBTC,HBAR,BTC,TRADING,true,8,8
HBARUSDT,HBAR,USDT,TRADING,true,8,8
STXBTC,STX,BTC,TRADING,true,8,8
STXUSDT,STX,USDT,TRADING,true,8,8
KAVABTC,KAVA,BTC,TRADING,true,8,8
KAVAUSDT,KAVA,USDT,TRADING,true,8,8
